LinkID,SampleID,HomeID,Type,PM25mass,Validity,Mass_mg,Volume_m3,comments,datestarted,dateended,PM25mass_flag
CA073120,10910,CA083,OUTDOOR,16.3,0,0.467,28.7307,"Small hole near edge","2000-09-20 00:00:00","2000-09-22 00:00:00",
CA073130,20624,CA083,"PERSONAL ADULT",9.4,NULL,0.086,9.1434,"","2000-09-20 00:00:00","2000-09-22 00:00:00",
CA074110,10942,CA084,INDOOR,18.7,NULL,0.4955,26.45,"","2000-09-27 00:00:00","2000-09-29 00:00:00",
CA074120,10941,CA084,OUTDOOR,29.8,NULL,0.773,25.95,"12% flow change","2000-09-27 00:00:00","2000-09-29 00:00:00",
CA074130,20642,CA084,"PERSONAL ADULT",23.5,NULL,0.2075,8.835,"","2000-09-27 00:00:00","2000-09-29 00:00:00",
CA075110,10938,CA085,INDOOR,20.5,NULL,0.5635,27.53,"using MSP pump","2000-09-27 00:00:00","2000-09-29 00:00:00",
CA075120,10939,CA085,OUTDOOR,33.8,NULL,0.94,27.78,"using MSP pump","2000-09-27 00:00:00","2000-09-29 00:00:00",
CA075130,20629,CA085,"PERSONAL ADULT",76.7,0,0.6365,8.3,"23% flow change","2000-09-27 00:00:00","2000-09-29 00:00:00",
CA076110,10933,CA086,INDOOR,19.3,NULL,0.508,26.34,"","2000-09-25 00:00:00","2000-09-27 00:00:00",
CA076120,10934,CA086,OUTDOOR,23.2,NULL,0.6345,27.36,"","2000-09-25 00:00:00","2000-09-27 00:00:00",
CA076130,20643,CA086,"PERSONAL ADULT",19.2,NULL,0.1695,8.841,"","2000-09-25 00:00:00","2000-09-27 00:00:00",
CA077110,10948,CA087,INDOOR,25.1,NULL,0.695,27.64,"","2000-10-02 00:00:00","2000-10-04 00:00:00",
CA077120,10943,CA087,OUTDOOR,34.6,NULL,0.935,27.03,"","2000-10-02 00:00:00","2000-10-04 00:00:00",
CA077130,20631,CA087,"PERSONAL ADULT",26.1,NULL,0.2415,9.242,"","2000-10-02 00:00:00","2000-10-04 00:00:00",
CA078110,10945,CA088,INDOOR,17.6,NULL,0.5075,28.8,"","2000-10-02 00:00:00","2000-10-04 00:00:00",
CA078120,10944,CA088,OUTDOOR,32.9,0,0.8725,26.52,"""final flow could not be taken, pump motor had problem.""","2000-10-02 00:00:00","2000-10-04 00:00:00",
CA078130,20632,CA088,"PERSONAL ADULT",27.1,NULL,0.253,9.33,"","2000-10-02 00:00:00","2000-10-04 00:00:00",
CA001210,10285,CA211,INDOOR,9.9,NULL,0.275,27.78,"","1999-12-01 00:00:00","1999-12-03 00:00:00",
CA001220,10284,CA211,OUTDOOR,13.5,NULL,0.3645,27.09,"","1999-12-01 00:00:00","1999-12-03 00:00:00",
CA001230,20215,CA211,"PERSONAL ADULT",27.6,NULL,0.2405,8.72,"","1999-12-01 00:00:00","1999-12-03 00:00:00",
CA002210,10193,CA212,INDOOR,12.4,NULL,0.3395,27.39,"Harvard indoor flow change 10%.","1999-11-17 00:00:00","1999-11-19 00:00:00",
CA002220,10194,CA212,OUTDOOR,13.1,NULL,0.371,28.23,"","1999-11-17 00:00:00","1999-11-19 00:00:00",
CA002230,20140,CA212,"PERSONAL ADULT",40.2,NULL,0.368,9.164,"","1999-11-17 00:00:00","1999-11-19 00:00:00",
CA003210,10209,CA213,INDOOR,11.3,NULL,0.316,27.87,"","1999-11-29 00:00:00","1999-12-01 00:00:00",
CA003220,10210,CA213,OUTDOOR,17.7,NULL,0.5225,29.46,"","1999-11-29 00:00:00","1999-12-01 00:00:00",
CA003230,20143,CA213,"PERSONAL ADULT",27.3,NULL,0.253,9.28,"","1999-11-29 00:00:00","1999-12-01 00:00:00",
CA004210,10245,CA214,INDOOR,18.8,NULL,0.5265,27.95,"","2000-01-10 00:00:00","2000-01-12 00:00:00",
CA004220,10244,CA214,OUTDOOR,32.9,NULL,0.9385,28.56,"","2000-01-10 00:00:00","2000-01-12 00:00:00",
CA004230,20161,CA214,"PERSONAL ADULT",26.5,NULL,0.24,9.062,"","2000-01-10 00:00:00","2000-01-12 00:00:00",
CA005210,10214,CA215,INDOOR,22,NULL,0.62,28.16,"","1999-12-16 00:00:00","1999-12-18 00:00:00",
CA005220,10215,CA215,OUTDOOR,26.7,NULL,0.7725,28.89,"","1999-12-16 00:00:00","1999-12-18 00:00:00",
CA005230,20158,CA215,"PERSONAL ADULT",33.9,NULL,0.295,8.714,"","1999-12-16 00:00:00","1999-12-18 00:00:00",
CA006210,10242,CA216,INDOOR,16.3,NULL,0.457,27.995,"","2000-01-12 00:00:00","2000-01-14 00:00:00",
CA006220,10241,CA216,OUTDOOR,23.3,NULL,0.638,27.332,"","2000-01-12 00:00:00","2000-01-14 00:00:00",
CA006230,20165,CA216,"PERSONAL ADULT",21.3,NULL,0.196,9.195,"","2000-01-12 00:00:00","2000-01-14 00:00:00",
CA007210,10395,CA217,INDOOR,7.6,NULL,0.2145,28.21,"","2000-02-29 00:00:00","2000-03-02 00:00:00",
CA007220,10396,CA217,OUTDOOR,8.8,NULL,0.251,28.66,"","2000-02-29 00:00:00","2000-03-02 00:00:00",
CA007230,20290,CA217,"PERSONAL ADULT",22.3,NULL,0.205,9.194,"","2000-02-29 00:00:00","2000-03-02 00:00:00",
CA010210,10482,CA220,INDOOR,6,NULL,0.186,30.95,"","2000-03-29 00:00:00","2000-03-31 00:00:00",
CA010220,10483,CA220,OUTDOOR,14.2,NULL,0.389,27.48,"","2000-03-29 00:00:00","2000-03-31 00:00:00",
CA010230,20349,CA220,"PERSONAL ADULT",12.7,NULL,0.132,10.38,"","2000-03-29 00:00:00","2000-03-31 00:00:00",
CA011210,10424,CA221,INDOOR,10.6,0,0.129,12.18,"Harvard pump only ran for 20.2 hours","2000-03-01 00:00:00","2000-03-03 00:00:00",
CA011220,10425,CA221,OUTDOOR,14.1,NULL,0.4005,28.5,"","2000-03-01 00:00:00","2000-03-03 00:00:00",
CA011230,20305,CA221,"PERSONAL ADULT",14.9,NULL,0.135,9.07,"","2000-03-01 00:00:00","2000-03-03 00:00:00",
CA012210,10455,CA222,INDOOR,11.4,NULL,0.321,28.04,"","2000-03-21 00:00:00","2000-03-23 00:00:00",
CA012220,10456,CA222,OUTDOOR,10.7,NULL,0.307,28.75,"","2000-03-21 00:00:00","2000-03-23 00:00:00",
CA012230,20330,CA222,"PERSONAL ADULT",16.3,NULL,0.15,9.23,"","2000-03-21 00:00:00","2000-03-23 00:00:00",
CA013210,10402,CA223,INDOOR,3.8,NULL,0.11,28.65,"","2000-02-23 00:00:00","2000-02-25 00:00:00",
CA013220,10403,CA223,OUTDOOR,5.8,NULL,0.1635,28.32,"","2000-02-23 00:00:00","2000-02-25 00:00:00",
CA013230,20288,CA223,"PERSONAL ADULT",11.4,0,0.1095,9.58,"BGI pump had problem","2000-02-23 00:00:00","2000-02-25 00:00:00",
CA014210,10335,CA224,INDOOR,12.7,NULL,0.363,28.65,"","2000-02-07 00:00:00","2000-02-09 00:00:00",
CA014220,10336,CA224,OUTDOOR,13,0,0.0015,0.115,"""only ran 12 min, pump stoped""","2000-02-07 00:00:00","1999-02-09 00:00:00",
CA014230,20239,CA224,"PERSONAL ADULT",20,NULL,0.186,9.3,"","2000-02-07 00:00:00","2000-02-09 00:00:00",
CA015210,10435,CA225,INDOOR,26,NULL,0.744,28.62,"","2000-03-14 00:00:00","2000-03-16 00:00:00",
CA015220,10434,CA225,OUTDOOR,48.4,NULL,1.39,28.69,"","2000-03-17 00:00:00","2000-03-17 00:00:00",
CA015230,20311,CA225,"PERSONAL ADULT",41.9,NULL,0.4035,9.629,"","2000-03-14 00:00:00","2000-03-16 00:00:00",
CA016210,10440,CA226,INDOOR,6.9,NULL,0.193,28.03,"","2000-03-07 00:00:00","2000-03-09 00:00:00",
CA016220,10441,CA226,OUTDOOR,8.8,NULL,0.255,28.85,"","2000-03-07 00:00:00","2000-03-09 00:00:00",
CA016230,20317,CA226,"PERSONAL ADULT",13.2,NULL,0.1235,9.36,"","2000-03-07 00:00:00","2000-03-09 00:00:00",
CA017210,10460,CA227,INDOOR,6.4,NULL,0.183,28.5021,"","2000-03-20 00:00:00","2000-03-22 00:00:00",
CA017220,10459,CA227,OUTDOOR,10.7,NULL,0.297,27.881,"","2000-03-20 00:00:00","2000-03-22 00:00:00",
CA017230,20328,CA227,"PERSONAL ADULT",16.9,NULL,0.1555,9.20448,"","2000-03-20 00:00:00","2000-03-22 00:00:00",
CA018210,10484,CA228,INDOOR,23.3,NULL,0.6755,28.93,"","2000-04-06 00:00:00","2000-04-08 00:00:00",
CA018220,10485,CA228,OUTDOOR,30,NULL,0.84,28.02,"Harvard outdoor flow change 10%","2000-04-06 00:00:00","2000-04-08 00:00:00",
CA018230,20343,CA228,"PERSONAL ADULT",31.4,NULL,0.29,9.23,"","2000-04-06 00:00:00","2000-04-08 00:00:00",
CA019210,10438,CA229,INDOOR,7.2,NULL,0.1745,24.28,"","2000-03-06 00:00:00","2000-03-08 00:00:00",
CA019220,10437,CA229,OUTDOOR,9.6,NULL,0.282,29.45,"","2000-03-06 00:00:00","2000-03-08 00:00:00",
CA019230,20312,CA229,"PERSONAL ADULT",15.8,NULL,0.147,9.282,"","2000-03-06 00:00:00","2000-03-08 00:00:00",
CA020210,10497,CA230,INDOOR,14.5,NULL,0.395,27.16,"","2000-04-11 00:00:00","2000-04-13 00:00:00",
CA020220,10498,CA230,OUTDOOR,23.4,NULL,0.668,28.55,"","2000-04-11 00:00:00","2000-04-13 00:00:00",
CA020230,20350,CA230,"PERSONAL ADULT",31.6,NULL,0.285,9.01,"","2000-04-11 00:00:00","2000-04-13 00:00:00",
CA022210,10584,CA232,INDOOR,18.3,NULL,0.5205,28.37,"","2000-05-31 00:00:00","2000-06-02 00:00:00",
CA022220,10585,CA232,OUTDOOR,22.4,NULL,0.6315,28.22,"","2000-05-31 00:00:00","2000-06-02 00:00:00",
CA022230,20405,CA232,"PERSONAL ADULT",15.2,0,0.103,6.78,"BGI problem with sampling cap o-ring","2000-05-31 00:00:00","2000-06-02 00:00:00",
CA023210,10624,CA233,INDOOR,4.9,NULL,0.136,27.68,"Harvard indoor flow change 12%","2000-06-07 00:00:00","2000-06-09 00:00:00",
CA023220,10622,CA233,OUTDOOR,4.5,NULL,0.1305,28.93,"","2000-06-07 00:00:00","2000-06-09 00:00:00",
CA023230,20439,CA233,"PERSONAL ADULT",7.6,NULL,0.07,9.195,"","2000-06-07 00:00:00","2000-06-09 00:00:00",
CA024210,10613,CA234,INDOOR,14.7,NULL,0.423,28.8,"","2000-06-05 00:00:00","2000-06-07 00:00:00",
CA024220,10614,CA234,OUTDOOR,15.5,NULL,0.4425,28.52,"","2000-06-05 00:00:00","2000-06-07 00:00:00",
CA024230,20438,CA234,"PERSONAL ADULT",32.4,NULL,0.2915,9.01,"","2000-06-05 00:00:00","2000-06-07 00:00:00",
CA025210,10689,CA235,INDOOR,18.1,NULL,0.53,29.28,"","2000-06-19 00:00:00","2000-06-21 00:00:00",
CA025220,10690,CA235,OUTDOOR,20,NULL,0.557,27.84,"","2000-06-19 00:00:00","2000-06-21 00:00:00",
CA025230,20479,CA235,"PERSONAL ADULT",23,NULL,0.2075,9.038,"","2000-06-19 00:00:00","2000-06-21 00:00:00",
CA027210,10685,CA237,INDOOR,12.3,NULL,0.3445,28.11,"","2000-06-19 00:00:00","2000-06-21 00:00:00",
CA027220,10686,CA237,OUTDOOR,15.2,NULL,0.425,28,"","2000-06-19 00:00:00","2000-06-21 00:00:00",
CA027230,20477,CA237,"PERSONAL ADULT",19.8,NULL,0.176,8.89,"","2000-06-19 00:00:00","2000-06-21 00:00:00",
CA029210,10692,CA239,INDOOR,16.7,NULL,0.5,29.93,"","2000-06-21 00:00:00","2000-06-23 00:00:00",
CA029220,10693,CA239,OUTDOOR,18.7,NULL,0.552,29.49,"","2000-06-21 00:00:00","2000-06-23 00:00:00",
CA029230,20481,CA239,"PERSONAL ADULT",25.9,NULL,0.251,9.69,"","2000-06-21 00:00:00","2000-06-23 00:00:00",
CA030210,10700,CA240,INDOOR,12.5,NULL,0.3415,27.25,"","2000-06-28 00:00:00","2000-06-30 00:00:00",
CA030220,10701,CA240,OUTDOOR,19.7,NULL,0.5225,26.49,"","2000-06-28 00:00:00","2000-06-30 00:00:00",
CA030230,20483,CA240,"PERSONAL ADULT",40,0,0.375,9.38,"""BGI flow change 13%, a small hole near edge""","2000-06-28 00:00:00","2000-06-30 00:00:00",
CA032210,10832,CA242,INDOOR,2.7,NULL,0.075,27.87,"","2000-08-23 00:00:00","2000-08-25 00:00:00",
CA032220,10831,CA242,OUTDOOR,16.1,NULL,0.4575,28.34,"","2000-08-23 00:00:00","2000-08-25 00:00:00",
CA032230,20552,CA242,"PERSONAL ADULT",5.7,NULL,0.0525,9.236,"","2000-08-23 00:00:00","2000-08-25 00:00:00",
CA033210,10802,CA243,INDOOR,16.7,NULL,0.4565,27.28,"","2000-08-21 00:00:00","2000-08-23 00:00:00",
CA033220,10803,CA243,OUTDOOR,19.3,NULL,0.4835,25.05,"15% flow change","2000-08-21 00:00:00","2000-08-23 00:00:00",
CA033230,20558,CA243,"PERSONAL ADULT",23.4,NULL,0.2045,8.73,"","2000-08-21 00:00:00","2000-08-23 00:00:00",
CA034210,10844,CA244,INDOOR,16.1,NULL,0.4285,26.69,"14% flow change","2000-09-06 00:00:00","2000-09-08 00:00:00",
CA034220,10845,CA244,OUTDOOR,11.6,NULL,0.322,27.67,"","2000-09-06 00:00:00","2000-09-08 00:00:00",
CA034240,20575,CA244,"PERSONAL CHILD 1",40.2,NULL,0.356,8.865,"","2000-09-06 00:00:00","2000-09-08 00:00:00",
CA035210,10908,CA245,INDOOR,11.4,NULL,0.3255,28.56,"","2000-09-13 00:00:00","2000-09-15 00:00:00",
CA035220,10909,CA245,OUTDOOR,13.4,NULL,0.3725,27.75,"","2000-09-13 00:00:00","2000-09-15 00:00:00",
CA035230,20580,CA245,"PERSONAL ADULT",40.3,NULL,0.374,9.29,"","2000-09-13 00:00:00","2000-09-15 00:00:00",
CA036210,10797,CA246,INDOOR,10.4,NULL,0.2835,27.38,"11% flow change","2000-08-08 00:00:00","2000-08-10 00:00:00",
CA036220,10798,CA246,OUTDOOR,9.9,0,0.2565,26.04,"20% flow change","2000-08-08 00:00:00","2000-08-10 00:00:00",
CA036230,20524,CA246,"PERSONAL ADULT",19.5,NULL,0.1785,9.16,"","2000-08-08 00:00:00","2000-08-10 00:00:00",
CA037210,10907,CA247,INDOOR,16,NULL,0.462,28.8,"","2000-09-11 00:00:00","2000-09-13 00:00:00",
CA037220,10906,CA247,OUTDOOR,13.3,NULL,0.3725,28.05,"","2000-09-11 00:00:00","2000-09-13 00:00:00",
CA037230,20577,CA247,"PERSONAL ADULT",16.8,NULL,0.1555,9.24,"","2000-09-11 00:00:00","2000-09-13 00:00:00",
CA039210,10834,CA249,INDOOR,21.1,NULL,0.5695,27.04,"","2000-08-23 00:00:00","2000-08-25 00:00:00",
CA039220,10830,CA249,OUTDOOR,18.9,NULL,0.5105,26.98,"","2000-08-23 00:00:00","2000-08-25 00:00:00",
CA039230,20549,CA249,"PERSONAL ADULT",23.7,0,0.205,8.665,"Battery was dead.  Used In-vehicle battery to ckeck flow rate.Sample duration 18","2000-08-23 00:00:00","2000-08-25 00:00:00",
CA041210,10973,CA251,INDOOR,22.5,NULL,0.6505,28.9,"","2000-10-16 00:00:00","2000-10-18 00:00:00",
CA041220,10972,CA251,OUTDOOR,31.7,0,0.5955,18.77,"30% flow change","2000-10-16 00:00:00","2000-10-18 00:00:00",
CA041230,20647,CA251,"PERSONAL ADULT",31.4,NULL,0.289,9.216,"","2000-10-16 00:00:00","2000-10-18 00:00:00",
CA043210,11032,CA253,INDOOR,6.6,NULL,0.184,27.97,"","2000-11-06 00:00:00","2000-11-08 00:00:00",
CA043220,11033,CA253,OUTDOOR,10.6,NULL,0.306,28.84,"","2000-11-06 00:00:00","2000-11-08 00:00:00",
CA043230,20671,CA253,"PERSONAL ADULT",9.1,NULL,0.0855,9.4,"","2000-11-06 00:00:00","2000-11-08 00:00:00",
CA046210,10947,CA256,INDOOR,9,NULL,0.247,27.35,"","2000-10-09 00:00:00","2000-10-11 00:00:00",
CA046220,10968,CA256,OUTDOOR,13.6,NULL,0.37,27.2,"","2000-10-09 00:00:00","2000-10-11 00:00:00",
CA046230,20646,CA256,"PERSONAL ADULT",16.7,0,0.135,8.082,"23% flow change","2000-10-09 00:00:00","2000-10-11 00:00:00",
CA047210,11025,CA257,INDOOR,19,NULL,0.522,27.53,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
CA047220,11026,CA257,OUTDOOR,26.8,NULL,0.7545,28.13,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
CA047230,20685,CA257,"PERSONAL ADULT",14.8,0,0.16,10.82,"35% flow change.","2000-10-31 00:00:00","2000-11-02 00:00:00",
CA050210,10975,CA260,INDOOR,51.2,NULL,1.501,29.33,"","2000-10-18 00:00:00","2000-10-20 00:00:00",
CA050220,10976,CA260,OUTDOOR,74.9,NULL,2.231,29.77,"","2000-10-18 00:00:00","2000-10-20 00:00:00",
CA050230,20650,CA260,"PERSONAL ADULT",53.3,NULL,0.5215,9.79,"","2000-10-18 00:00:00","2000-10-20 00:00:00",
CA051210,10977,CA261,INDOOR,37,NULL,1.069,28.89,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
CA051220,11035,CA261,OUTDOOR,23,NULL,0.6395,27.86,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
CA051230,20652,CA261,"PERSONAL ADULT",27.2,NULL,0.2425,8.9,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
CA052210,10970,CA262,INDOOR,17.6,0,0.428,24.3,"Power outage 10/10/00 for 8 hours.Sample duration was 40.5 hrs.","2000-10-09 00:00:00","2000-10-11 00:00:00",
CA052220,10971,CA262,OUTDOOR,10.9,NULL,0.316,29.12,"","2000-10-09 00:00:00","2000-10-11 00:00:00",
CA052230,20648,CA262,"PERSONAL ADULT",14.9,0,0.0745,5.011,"""Final flow couldn't be taken, so assumed constant.""","2000-10-09 00:00:00","2000-10-11 00:00:00",
CA053210,11067,CA263,INDOOR,13.8,NULL,0.381,27.59,"","2000-11-20 00:00:00","2000-11-22 00:00:00",
CA053220,11066,CA263,OUTDOOR,21.3,NULL,0.6385,29.94,"Harvard outdoor flow change 10%","2000-11-20 00:00:00","2000-11-22 00:00:00",
CA055210,11060,CA265,INDOOR,39.5,NULL,0.8985,22.72,"","2000-11-28 00:00:00","2000-11-30 00:00:00",
CA055220,11070,CA265,OUTDOOR,69.8,NULL,1.536,22.02,"","2000-11-28 00:00:00","2000-11-30 00:00:00",
CA055230,20721,CA265,"PERSONAL ADULT",56,NULL,0.4025,7.182,"","2000-11-28 00:00:00","2000-11-30 00:00:00",
CA058210,11146,CA268,INDOOR,14.4,NULL,0.3895,26.961,"","2001-01-16 00:00:00","2001-01-18 00:00:00",
CA058220,11145,CA268,OUTDOOR,5.6,NULL,0.1595,28.68,"","2001-01-16 00:00:00","2001-01-18 00:00:00",
CA058230,20746,CA268,"PERSONAL ADULT",15,NULL,0.134,8.944,"","2001-01-16 00:00:00","2001-01-18 00:00:00",
CA059210,11028,CA269,INDOOR,10.2,NULL,0.277,27.19,"","2000-11-15 00:00:00","2000-11-17 00:00:00",
CA059220,11029,CA269,OUTDOOR,16.8,NULL,0.4465,26.55,"","2000-11-15 00:00:00","2000-11-17 00:00:00",
CA059230,20703,CA269,"PERSONAL ADULT",37.5,NULL,0.3255,8.683,"","2000-11-15 00:00:00","2000-11-17 00:00:00",
CA060210,11058,CA270,INDOOR,12.3,NULL,0.3535,28.79,"","2000-11-20 00:00:00","2000-11-22 00:00:00",
CA060220,11057,CA270,OUTDOOR,19,NULL,0.5165,27.17,"","2000-11-20 00:00:00","2000-11-22 00:00:00",
CA060230,20706,CA270,"PERSONAL ADULT",22.4,NULL,0.206,9.176,"","2000-11-20 00:00:00","2000-11-22 00:00:00",
CA061210,11031,CA271,INDOOR,9.9,NULL,0.317,32.01,"","2000-11-15 00:00:00","2000-11-17 00:00:00",
CA061220,11055,CA271,OUTDOOR,16.2,NULL,0.5225,32.3,"","2000-11-15 00:00:00","2000-11-17 00:00:00",
CA062210,11117,CA272,INDOOR,13.6,NULL,0.377,27.72,"","2000-12-11 00:00:00","2000-12-13 00:00:00",
CA062220,11118,CA272,OUTDOOR,14,NULL,0.3875,27.76,"","2000-12-11 00:00:00","2000-12-13 00:00:00",
CA062230,20701,CA272,"PERSONAL ADULT",14.3,NULL,0.1245,8.72,"","2000-12-11 00:00:00","2000-12-13 00:00:00",
CA063210,11108,CA273,INDOOR,9.8,NULL,0.2735,27.8,"","2001-01-17 00:00:00","2001-01-19 00:00:00",
CA063220,11107,CA273,OUTDOOR,12.5,NULL,0.3505,28.1,"","2001-01-17 00:00:00","2001-01-19 00:00:00",
CA065210,11022,CA275,INDOOR,13.8,NULL,0.377,27.3,"","2000-10-23 00:00:00","2000-10-25 00:00:00",
CA065220,11021,CA275,OUTDOOR,12.2,NULL,0.3395,27.9,"","2000-10-23 00:00:00","2000-10-25 00:00:00",
CA065230,20670,CA275,"PERSONAL ADULT",NULL,0,0.0905,NULL,"""BGI volume not reported, no power;""","2000-10-23 00:00:00","2000-10-25 00:00:00",NA
CA066210,11018,CA276,INDOOR,8.5,NULL,0.241,28.28,"","2000-10-23 00:00:00","2000-10-25 00:00:00",
CA066220,11019,CA276,OUTDOOR,NULL,0,0.0625,NULL,"""Pump on, but no power when they arrived.""","2000-10-23 00:00:00","2000-10-25 00:00:00",NA
CA069210,11062,CA279,INDOOR,12.4,NULL,0.3505,28.302,"","2000-12-05 00:00:00","2000-12-07 00:00:00",
CA069220,11061,CA279,OUTDOOR,21,NULL,0.6,28.552,"","2000-12-05 00:00:00","2000-12-07 00:00:00",
CA069230,20724,CA279,"PERSONAL ADULT",246.5,0,1.3925,5.65,"BGI flow change 78%","2000-12-05 00:00:00","2000-12-07 00:00:00",
CA070220,11155,CA280,OUTDOOR,23.2,NULL,0.644,27.71,"","2001-02-05 00:00:00","2001-02-07 00:00:00",
CA070230,20772,CA280,"PERSONAL ADULT",35.9,NULL,0.304,8.47,"","2001-02-05 00:00:00","2001-02-07 00:00:00",
CA072210,11120,CA282,INDOOR,6.6,NULL,0.185,28.13,"","2000-12-12 00:00:00","2000-12-14 00:00:00",
CA072220,11121,CA282,OUTDOOR,14.6,NULL,0.42,28.69,"","2000-12-12 00:00:00","2000-12-14 00:00:00",
CA072230,20725,CA282,"PERSONAL ADULT",7.4,0,0.063,8.512,"BGI battery connecting loose wire cut power on and off to BGI during sampling pe","2000-12-12 00:00:00","2000-12-14 00:00:00",
CA073210,11153,CA283,INDOOR,5.4,NULL,0.155,28.69,"","2001-01-29 00:00:00","2001-01-31 00:00:00",
CA073220,11156,CA283,OUTDOOR,14.1,NULL,0.3955,28.08,"","2001-01-29 00:00:00","2001-01-31 00:00:00",
CA073230,20757,CA283,"PERSONAL ADULT",13.2,NULL,0.1195,9.03,"","2001-01-29 00:00:00","2001-01-31 00:00:00",
CA074210,11110,CA284,INDOOR,5.3,NULL,0.153,28.64,"","2001-01-10 00:00:00","2001-01-12 00:00:00",
CA074220,11114,CA284,OUTDOOR,6.8,0,0.188,27.68,"There was a lot of water in the sampling head intake.","2001-01-10 00:00:00","2001-01-12 00:00:00",
CA074230,20729,CA284,"PERSONAL ADULT",27.5,NULL,0.252,9.17,"","2001-01-10 00:00:00","2001-01-12 00:00:00",
CA075210,11112,CA285,INDOOR,7,NULL,0.196,28.15,"","2001-01-10 00:00:00","2001-01-12 00:00:00",
CA075220,11111,CA285,OUTDOOR,6.5,NULL,0.1865,28.65,"","2001-01-10 00:00:00","2001-01-12 00:00:00",
CA075230,20732,CA285,"PERSONAL ADULT",21.4,NULL,0.194,9.059,"","2001-01-10 00:00:00","2001-01-12 00:00:00",
CA077210,11147,CA287,INDOOR,20.4,NULL,0.56,27.44,"","2001-01-31 00:00:00","2001-02-02 00:00:00",
CA077220,11149,CA287,OUTDOOR,15.6,NULL,0.4275,27.37,"","2001-01-31 00:00:00","2001-02-02 00:00:00",
CA077230,20748,CA287,"PERSONAL ADULT",26.5,0,0.222,8.375,"small hole near edge.  11% flow change.","2001-01-31 00:00:00","2001-02-02 00:00:00",
CA078210,11158,CA288,INDOOR,12.4,NULL,0.3465,27.91,"","2001-02-05 00:00:00","2001-02-07 00:00:00",
CA078220,11150,CA288,OUTDOOR,22.8,NULL,0.6375,27.9,"","2001-02-05 00:00:00","2001-02-07 00:00:00",
CA078230,20749,CA288,"PERSONAL ADULT",14.3,NULL,0.1285,8.99,"","2001-02-05 00:00:00","2001-02-07 00:00:00",
TX103110,10951,EX103,INDOOR,15.2,NULL,0.419,27.504,"","2000-10-17 00:00:00","2000-10-19 00:00:00",
TX103120,10886,EX103,OUTDOOR,17.8,NULL,0.493,27.7673,"","2000-10-17 00:00:00","2000-10-19 00:00:00",
TX103130,20602,EX103,"PERSONAL ADULT",41.2,NULL,0.3825,9.29455,"","2000-10-17 00:00:00","2000-10-19 00:00:00",
TX104110,10889,EX104,INDOOR,13,NULL,0.3615,27.7556,"","2000-09-26 00:00:00","2000-09-28 00:00:00",
TX104120,10888,EX104,OUTDOOR,13.4,NULL,0.396,29.536,"","2000-09-26 00:00:00","2000-09-28 00:00:00",
TX104130,20572,EX104,"PERSONAL ADULT",NULL,0,0.302,8.90629,"""BGI pump duration 27 hrs but, based on the weighing records, mass (0.302 mg) lo","2000-09-26 00:00:00","2000-09-28 00:00:00",NA
TX105130,20655,EX105,"PERSONAL ADULT",78.9,NULL,0.7215,9.14906,"","2000-09-26 00:00:00","2000-09-28 00:00:00",
TX106110,10965,EX106,INDOOR,9.3,NULL,0.262,28.0425,"","2000-11-09 00:00:00","2000-11-11 00:00:00",
TX106120,10964,EX106,OUTDOOR,13.6,NULL,0.3635,26.8271,"","2000-11-09 00:00:00","2000-11-11 00:00:00",
TX106130,20601,EX106,"PERSONAL ADULT",158,NULL,1.447,9.15847,"","2000-11-09 00:00:00","2000-11-11 00:00:00",
TX104210,10986,EX204,INDOOR,17.2,NULL,0.5125,29.8353,"","2000-12-15 00:00:00","2000-12-17 00:00:00",
TX104220,10980,EX204,OUTDOOR,3.6,0,0.0855,23.8892,"""Harvard outdoor flow change 40%, pump duration 28 hrs""","2000-12-15 00:00:00","2000-12-17 00:00:00",
TX104230,20605,EX204,"PERSONAL ADULT",63.4,NULL,0.5965,9.41045,"","2000-12-15 00:00:00","2000-12-17 00:00:00",
TX105230,20604,EX205,"PERSONAL ADULT",32.9,NULL,0.3125,9.51196,"","2000-12-15 00:00:00","2000-12-17 00:00:00",
TX106210,10982,EX206,INDOOR,11.6,NULL,0.3145,27.1422,"","2001-01-15 00:00:00","2001-01-17 00:00:00",
TX106220,10987,EX206,OUTDOOR,NULL,0,NULL,30.4278,"Harvard outdoor filter stuck to the petridish and tore when it was attempted to","2001-01-15 00:00:00","2001-01-17 00:00:00",NA
TX106230,20607,EX206,"PERSONAL ADULT",22.6,NULL,0.2035,9.02226,"","2001-01-15 00:00:00","2001-01-17 00:00:00",
NJ001110,10052,NJ101,INDOOR,12.7,NULL,0.335,26.3607,"","1999-06-08 00:00:00","1999-06-10 00:00:00",
NJ001120,10053,NJ101,OUTDOOR,13.7,NULL,0.3715,27.1246,"","1999-06-08 00:00:00","1999-06-10 00:00:00",
NJ001130,20047,NJ101,"PERSONAL ADULT",30.4,NULL,0.269,8.83438,"","1999-06-08 00:00:00","1999-06-10 00:00:00",
NJ002110,10040,NJ102,INDOOR,17,NULL,0.489,28.6997,"","1999-06-23 00:00:00","1999-06-25 00:00:00",
