LinkID,HomeID,studytime,home,school_work,other_indoor,neighbor,out_far,car_open,car_clos
NJ070230,NULL,3675,2035.01,255,60,160.005,0,0,115.005
NJ067230,NULL,3675,2760,0,0,90,0,30,0
NJ065230,NULL,3675,2550,0,0,270,0,0,0
NJ064230,NULL,3735,1609.99,180,180,160.005,90,49.995,70.005
NJ063230,NULL,3675,1567.5,1132.5,0,0,0,0,0
NJ061230,NULL,3675,1830,40.005,120,430.005,120,79.995,19.995
NJ060230,NULL,3675,2940,0,0,0,0,0,0
NJ058230,NULL,3675,2860.01,0,0,40.005,0,0,40.005
NJ057230,NULL,3675,2402,0,31.995,132,102,0,151.995
NJ056230,NULL,3675,1585.01,655.005,45,270,64.995,19.995,120
NJ053230,NULL,3675,2317.5,0,439.995,0,34.995,109.995,22.5
NJ051230,NULL,3675,2197.5,0,162.495,199.995,0,180,19.995
NJ050230,NULL,3765,1837,58.995,148.005,303,283.005,216,109.005
NJ049230,NULL,3675,1705.01,400.005,0,445.005,0,0,30
NJ048230,NULL,3675,2687.51,0,109.995,67.5,52.5,0,52.5
NJ047230,NULL,3675,2515.01,0,250.005,0,0,160.005,0
NJ046230,NULL,3675,2115,139.995,205.005,210,64.995,105,160.005
NJ045230,NULL,3675,2640,280.005,199.995,0,0,0,120
NJ044230,NULL,3675,2899.99,0,0,19.995,0,19.995,0
NJ043230,NULL,3675,2790,0,0,0,0,0,0
NJ042230,NULL,3675,1995,780,0,0,0,0,240
NJ040230,NULL,3675,2580,0,0,270,0,30,0
NJ039230,NULL,3735,1260,1080,280.005,120,40.005,19.995,139.995
NJ038230,NULL,3675,2040,60,120,240,360,0,0
NJ037230,NULL,3675,3015,0,0,0,0,0,0
NJ036230,NULL,3675,2820,0,0,0,120,0,0
NJ033230,NULL,3675,2010,795,0,0,22.5,0,52.5
NJ032230,NULL,3675,2460,0,0,420,0,0,0
NJ031230,NULL,3675,2809.99,0,19.995,0,30,0,19.995
NJ030230,NULL,3675,3585,0,0,0,0,0,0
NJ029230,NULL,3675,1500,900,0,0,0,0,300
NJ028230,NULL,3675,3015,0,0,0,0,0,0
NJ027230,NULL,3675,2760,0,0,0,90,30,0
NJ025230,NULL,3675,2220,0,540,120,0,0,60
NJ024230,NULL,3675,2400,0,330,0,0,19.995,70.005
NJ023230,NULL,3675,2200.01,0,0,130.005,0,70.005,0
NJ022230,NULL,3675,1950,0,0,397.5,232.5,0,0
NJ020230,NULL,3675,2070,480,0,49.995,349.995,90,199.995
NJ019230,NULL,3675,2542.5,0,122.505,50.0025,12.5025,22.5,25.005
NJ018230,NULL,3675,930,1140,240,270,105,165,120
NJ017230,NULL,3675,2644.99,0,439.995,0,0,109.995,0
NJ014230,NULL,3675,2970,90,0,90,30,0,0
NJ013230,NULL,3675,2340,900,0,0,0,0,0
NJ011230,NULL,3675,3510,0,0,0,0,0,0
NJ009230,NULL,3675,660,1140,0,120,0,0,300
NJ008230,NULL,3675,2760,0,0,0,0,0,0
NJ006230,NULL,3675,2385,0,0,420,0,0,0
NJ005230,NULL,3675,1525.01,1180.01,0,0,0,49.995,49.995
NJ004230,NULL,3675,2745,0,15,105,0,0,75
NJ003230,NULL,3675,1579.99,0,720,19.995,150,529.995,0
NJ002230,NULL,3675,2389.99,19.995,330,0,90,0,109.995
NJ100230,NULL,3675,2940,0,0,0,0,0,0
NJ099130,NULL,3675,1459.99,1050,30,169.995,0,30,139.995
NJ098130,NULL,3675,1414.99,1069.99,225,85.005,0,0,145.005
NJ097130,NULL,3675,2340,0,120,0,60,0,0
NJ096130,NULL,3675,2910,0,0,30,0,0,0
NJ095130,NULL,3675,2085,0,0,60,0,0,930
NJ094130,NULL,3675,2820,0,30,0,0,0,90
NJ093130,NULL,3675,2820,0,0,0,60,0,60
NJ092130,NULL,3675,2452.5,0,510,0,0,127.5,30
