LinkID,XRF_ID,Number_of_experiment,Sample_ID,Li,Be,Mg,Al,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Arsenic,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi,U,datestarted,dateended,Be_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Arsenic_flag,Se_flag,Rb_flag,Sr_flag,Ag_flag,Cd_flag,Cs_flag,Ba_flag,Tl_flag,Pb_flag,Bi_flag,U_flag,Li_flag,Mg_flag,Al_flag
NJ013120,T2442,1,10199,0,0.0323336,29.928,74.1896,5.78652,2.9344,11.6074,31.7744,0.610887,23.0322,66.3706,1547.53,0.212926,0.59376,0.985238,0.150452,0.766407,0.189055,0.624229,0.0327363,2.73322,0.0399899,16.1957,0.117087,-0.0033237,"1999-10-27 00:00:00","1999-10-29 00:00:00",<DL,<DL,<DL,,,,<DL,,,,<DL,,,<DL,<DL,<DL,<DL,,<DL,,,ND,ND,,
NJ013130,T2443,1,20118,0,0.0693267,98.3861,131.68,18.3847,2.30355,21.1863,3.45349,0.476259,23.7159,39.2563,263.227,0.232714,0.372654,0.632825,0.292253,1.86753,0.503819,0.889823,0.0752659,3.92226,0.113853,24.7764,0.226782,-0.0137211,"1999-10-27 00:00:00","1999-10-29 00:00:00",<DL,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,ND,ND,,
NJ013140,T2444,1,20117,0,0.16097,101.519,131.021,22.3008,1.87175,17.7903,3.98904,0.39769,42.3569,31.8409,333.836,0.234649,0.424996,0.907117,0.296682,2.06008,0.467308,1.11289,0.0631634,3.48373,0.123926,109.987,0.216768,0.0069575,"1999-10-27 00:00:00","1999-10-29 00:00:00",<DL,<DL,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,<DL,<DL,ND,,
NJ015110,T2446,1,10225,0,0.160317,25.2358,12.2385,4.68731,0.20192,2.35672,1.29365,0.28904,3.4046,10.3979,44.7198,0.0702685,0.211316,0.643928,0.0518013,0.42473,0.123707,0.260297,0.0171381,0.783835,0.0610919,4.99651,0.0856137,0.0064965,"1999-11-03 00:00:00","1999-11-05 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,,
NJ015120,T2447,1,10226,0,0.13129,19.3885,13.9086,5.36654,0.183591,2.18417,1.29498,0.0618838,7.17566,10.3701,74.2465,0.0769613,0.173658,0.577157,0.0346852,0.384154,0.121216,0.195538,0.0103673,0.856346,0.0517987,5.25444,0.0774651,-0.000852207,"1999-11-03 00:00:00","1999-11-05 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,ND,ND,,
NJ015130,T2448,1,20135,0,0.170772,96.0688,194.097,24.5972,0.561742,12.0724,3.97672,0.93845,1324.63,37.8292,204.347,0.400132,0.740982,1.58353,0.608931,1.80922,0.791381,0.761071,0.2185,3.79695,0.363431,17.0596,0.631021,0.167553,"1999-11-03 00:00:00","1999-11-05 00:00:00",<DL,<DL,,,<DL,<DL,,<DL,<DL,<DL,,<DL,,<DL,,<DL,,,,<DL,,<DL,ND,,
CA004120,T3684,1,10099,0.203561,-0.069242,1010.52,29.3263,4.75948,9.42836,3.26843,1.47022,0.0504998,8.57559,12.8072,17.7166,0.470117,0.110891,1.25885,0.07601,0.751249,0.33788,0.305081,0.0593503,13.1872,0.0432112,11.7081,0.0650771,0.0359225,"1999-08-23 00:00:00","1999-08-25 00:00:00",ND,<DL,,<DL,<DL,<DL,<DL,,<DL,,<DL,,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,,,
CA004110,T3685,1,10100,0.774807,0.171821,124.732,19.55,4.7761,8.47294,2.83183,1.54693,0.20189,17.268,13.7511,18.1271,0.627148,0.260954,1.16355,0.204575,0.984751,0.425258,0.673862,0.183097,10.959,0.157324,10.8886,0.158935,0.14927,"1999-08-23 00:00:00","1999-08-25 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,,<DL,,<DL,,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,,,
CA004110,T3685,2,10100,0.277599,0.0386598,2557.45,10.8086,5.02148,9.68106,3.25333,1.63821,0.134235,19.0185,15.4317,19.2332,0.774807,0.206723,1.13509,0.0928909,1.02502,0.337199,0.393041,0.0783935,11.7268,0.0622852,11.3617,0.0864476,0.0467139,"1999-08-23 00:00:00","1999-08-25 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,,<DL,,<DL,,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,,,
CA047110,T3686,1,10619,0.595324,0.166365,35.1432,129.177,9.07611,5.61617,3.70352,2.76513,0.212577,15.1033,6.74375,34.1265,0.437659,0.364262,1.78869,0.237042,1.65712,0.86988,0.866618,0.183219,6.77963,0.178325,14.9619,0.288148,0.14788,"2000-05-30 00:00:00","2000-06-01 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,,<DL,<DL,,<DL,,,<DL,,,
CA047110,T3686,2,10619,0.187024,0.0489308,2662.92,57.847,7.95723,5.95868,3.35665,2.86408,0.175063,16.6528,7.18412,36.8286,0.517579,0.38764,1.43856,0.154947,1.63592,0.299021,0.58282,0.0815513,6.49692,0.0728525,14.4476,0.219645,0.0472997,"2000-05-30 00:00:00","2000-06-01 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,,<DL,<DL,,<DL,,,<DL,,,
CA047120,T3687,1,10620,0.513691,0.170697,52.276,39.0363,6.05228,4.43546,3.26565,2.26174,0.201636,9.02134,3.90576,21.0757,0.377667,0.346728,1.30637,0.213371,1.12447,0.693457,0.711593,0.184566,5.17745,0.154694,12.5686,0.223506,0.140292,"2000-05-30 00:00:00","2000-06-01 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,,<DL,,<DL,<DL,,<DL,<DL,,<DL,,,
