,pm25_pt_in,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
226,-0.2866010463557133,24.1808,0.285222,53.0197,-0.1093937506947367,74.64536666666666,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
228,-0.2866010463557133,24.1808,0.285222,53.0197,0.8154787813015615,74.0,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
230,-0.0985889243611721,26.3203,0.495558,49.4128,0.8743790059067239,81.89856666666667,0,0.0,0,85.0,0,6.49,13.0,0,0,0,0,1,1,0,1
232,-1.2835538165857818,25.4047,0.7578229999999999,45.3683,-1.034905337636049,76.45703333333334,0,0.0,0,91.0,0,5.82,15.0,0,0,0,0,1,1,0,1
234,-1.628701505452436,25.1701,0.4682939999999999,52.3049,0.15774048353569786,72.12243333333333,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
236,-1.628701505452436,25.1701,0.4682939999999999,52.3049,0.6320278515321481,72.13889999999998,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
238,-0.915028547848984,25.1701,0.34738600000000003,52.3049,0.15774048353569786,72.12243333333333,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
240,-0.915028547848984,25.1701,0.34738600000000003,52.3049,0.6320278515321481,72.13889999999998,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
242,-1.3096265264936615,25.0646,0.38508000000000003,47.72000714285714,0.5844764218894448,75.44446666666666,0,0.0,0,95.0,1,4.25,19.9,0,0,0,0,1,1,0,1
244,-1.3361300607243836,24.8747,0.364092,39.4672,-0.190169963859311,69.10415,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
248,-1.3361300607243836,24.8747,0.364092,39.4672,-0.190169963859311,71.9348,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
252,-1.3361300607243836,24.8747,0.364092,39.4672,-0.12938927200626102,69.20835,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
254,-1.3361300607243836,24.8747,0.364092,39.4672,-0.12938927200626102,73.3488,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
268,-1.2578974191457737,25.6,0.38139,41.2052825,0.4706829423375144,63.8889,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
270,-1.2578974191457737,25.6,0.38139,41.2052825,0.4037778383204212,63.82636666666667,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
272,-1.7628595050063174,25.6,0.273528,41.2052825,0.4706829423375144,63.8889,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
274,-1.7628595050063174,25.6,0.273528,41.2052825,0.4037778383204212,63.82636666666667,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
276,-1.5051181686798063,23.89,0.5463,42.44677,-0.21070130380541008,69.29076666666667,0,0.0,0,99.0,0,6.04,17.9,0,0,0,0,1,1,0,1
278,0.308366385038459,29.5,0.586394,44.184852500000005,1.399007160971696,67.80953333333333,0,0.0,0,95.0,0,3.58,10.1,1,1,1,1,1,1,0,1
280,0.308366385038459,29.5,0.586394,44.184852500000005,1.580527437333074,67.80953333333333,0,0.0,0,95.0,0,3.58,10.1,1,1,1,1,1,1,0,1
282,-0.5800641082791119,23.9,0.112474,44.6814475,0.4037778383204212,69.34723333333334,0,0.0,0,97.0,0,6.26,17.9,1,1,1,1,1,1,0,1
284,-0.37392725415033773,25.114285714285717,0.8497425714285713,45.922935,0.4540887454366254,78.4583,0,0.23,0,93.0,1,4.25,28.0,1,1,1,1,1,1,0,1
286,-0.37392725415033773,25.6,1.14465,46.41953,0.08373681470672545,77.3972,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
288,-0.37392725415033773,25.6,1.14465,46.41953,-0.5596056773548868,76.47223333333334,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
290,-1.2077791300486382,25.6,1.14465,46.41953,0.08373681470672545,77.3972,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
292,-1.2077791300486382,25.6,1.14465,46.41953,-0.5596056773548868,76.47223333333334,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
294,1.0713933795171269,23.9,0.406812,47.6610175,-0.5596056773548868,75.98666666666666,0,0.0,0,95.0,0,5.59,17.0,1,1,1,1,1,1,1,0
296,0.3873648536389208,28.1,0.232073,48.1576125,0.43740716797102425,68.02126666666668,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,1,0
298,0.3873648536389208,28.1,0.232073,48.1576125,0.3354252245787829,66.99273333333333,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,1,0
300,-1.6611769692940692,28.1,0.43239099999999997,48.1576125,0.43740716797102425,68.02126666666668,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,0,1
302,-1.6611769692940692,28.1,0.43239099999999997,48.1576125,0.3354252245787829,66.99273333333333,0,0.0,0,96.0,0,4.7,15.0,1,1,1,1,1,1,0,1
304,-1.6611769692940692,27.1,0.0819875,49.3991,-0.6297738543368996,70.48226666666666,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
306,-1.6611769692940692,27.1,0.0819875,49.3991,-0.7505183149689925,71.05673333333333,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
308,-0.5139247560200151,27.1,0.754034,49.3991,-0.6297738543368996,70.48226666666666,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
310,-0.5139247560200151,27.1,0.754034,49.3991,-0.7505183149689925,71.05673333333333,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
312,1.0713933795171269,26.7,0.530459,49.895695,1.0587416474646951,65.39583333333333,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
314,1.0713933795171269,26.7,0.530459,49.895695,1.220159438719324,65.44443333333334,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
316,-0.0985889243611721,26.7,0.519149,49.895695,1.0587416474646951,65.39583333333333,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
318,-0.0985889243611721,26.7,0.519149,49.895695,1.220159438719324,65.44443333333334,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
320,-1.3630797174847822,23.9,0.15301099999999998,51.1371825,1.399007160971696,77.17303333333331,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
322,-1.3630797174847822,23.9,0.15301099999999998,51.1371825,0.9178615016289672,77.2608,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
326,-1.3630797174847822,23.9,0.15301099999999998,51.1371825,0.9178615016289672,77.6667,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
330,-0.4347290366572341,25.6,1.1030799999999998,51.1371825,1.399007160971696,77.17303333333331,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
332,-0.4347290366572341,25.6,1.1030799999999998,51.1371825,0.9178615016289672,77.2608,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
336,-0.4347290366572341,25.6,1.1030799999999998,51.1371825,0.9178615016289672,77.6667,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
350,1.4654659024121797,28.1,0.169999,51.6337775,-0.5596056773548868,79.15903333333334,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
352,1.4654659024121797,28.1,0.169999,51.6337775,-1.3199370541088624,79.42556666666667,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
354,1.181043126185355,26.9,0.169999,51.6337775,-0.5596056773548868,79.15903333333334,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
356,1.181043126185355,26.9,0.169999,51.6337775,-1.3199370541088624,79.42556666666667,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
358,-0.300849632068263,25.3,0.21246900000000002,52.875265,-0.5137235184415546,67.90780000000001,0,0.0,0,99.0,0,5.14,17.0,0,0,0,0,1,1,1,0
360,-0.300849632068263,25.3,0.21246900000000002,52.875265,-0.6062010829150518,67.41843333333333,0,0.0,0,99.0,0,5.14,17.0,0,0,0,0,1,1,1,0
