,ozone
3921,24.0
8593,36.00000000000001
3203,33.0
3672,20.0
3244,40.0
6702,32.0
7164,46.0
6449,49.0
4548,42.0
6450,49.0
5877,43.0
8457,50.0
4916,33.0
2813,21.0
1597,26.0
8277,25.0
6050,15.0
1842,28.0
3801,33.0
3101,23.0
6602,26.0
5025,49.0
8343,34.0
4549,40.0
4923,40.0
4840,22.0
5808,32.0
1865,68.0
6288,25.0
6174,38.0
5954,24.0
4801,15.0
5351,59.00000000000001
7543,32.0
4502,52.00000000000001
6229,47.0
6433,37.00000000000001
6424,21.0
3256,47.0
6192,38.0
4246,59.00000000000001
1651,40.0
6031,26.0
2789,69.0
7451,85.0
5662,36.00000000000001
3606,55.0
4835,24.0
3195,44.00000000000001
3821,24.0
2025,55.0
3807,28.0
7571,48.0
8649,49.0
3805,28.0
8347,31.0
3969,38.0
8319,51.0
7220,43.0
4653,17.0
5814,40.0
7197,59.00000000000001
2109,75.0
5211,19.0
3070,36.00000000000001
3546,24.0
2565,40.99999999999999
4526,20.0
3169,37.00000000000001
4503,57.99999999999999
1668,60.0
6610,55.0
1974,30.0
6101,17.0
8273,18.0
5544,29.0
1515,46.0
6851,40.0
2777,28.0
3590,24.0
2782,25.0
2866,47.0
6694,17.0
2982,44.00000000000001
6082,22.0
3382,43.0
6240,39.0
5594,32.0
3161,47.0
4905,14.0
3050,17.0
2987,42.0
2102,40.0
6814,62.0
3867,13.0
1915,38.0
2956,46.0
4230,47.0
4637,34.0
6811,57.0
6779,42.0
6542,36.00000000000001
3489,26.0
2880,49.0
2849,32.0
7062,36.00000000000001
7689,28.0
7623,8.0
5788,62.0
3671,20.0
4776,16.0
4104,40.99999999999999
2005,21.0
8524,34.0
1999,22.0
5024,49.0
5757,38.0
5121,17.0
4322,28.0
2368,27.0
7504,25.0
3441,22.0
4361,20.0
2710,28.0
3113,20.0
2520,75.0
5949,20.0
8683,38.0
3778,28.0
3756,45.0
1619,28.0
1936,28.0
4068,29.0
7043,29.0
7166,48.0
2690,38.0
5756,38.0
4965,23.0
3227,37.00000000000001
3697,25.0
5817,43.0
5939,59.00000000000001
6354,32.0
6572,55.99999999999999
4515,21.0
5611,30.0
3092,34.0
1526,31.0
5163,81.0
2842,52.00000000000001
3808,28.0
6730,31.0
7179,51.0
3580,30.0
2638,29.0
4598,20.0
3451,20.0
2403,40.99999999999999
5238,22.0
2468,33.0
6600,27.0
6721,55.0
8362,45.0
8109,38.0
4986,21.0
3851,6.0
2536,33.0
4032,40.0
3008,40.99999999999999
3409,62.0
6621,36.00000000000001
2491,33.0
4961,33.0
8358,38.0
5352,59.00000000000001
5780,20.0
5310,31.0
3719,46.0
3321,44.00000000000001
6582,50.0
2314,32.0
3922,24.0
5592,32.0
7423,27.0
7639,18.0
7508,24.0
7443,53.0
4885,24.0
4352,34.0
1819,57.0
5510,31.0
5542,29.0
3407,52.00000000000001
3630,65.0
7282,67.0
5168,60.0
4420,36.00000000000001
4937,27.0
8537,17.0
8686,81.0
5052,10.0
1507,35.0
4638,26.0
8613,35.0
7392,23.0
7503,25.0
8414,15.0
8137,19.0
3799,33.0
8459,60.0
5286,69.0
1728,53.0
4790,37.00000000000001
6607,51.0
8314,27.0
7338,38.0
3367,49.0
2673,24.0
3066,29.0
5564,18.0
4865,39.0
3696,25.0
3410,62.0
7201,39.0
6277,50.0
7614,37.00000000000001
4220,25.0
2490,44.00000000000001
2430,48.0
4509,36.00000000000001
2889,48.0
7648,49.0
3941,35.0
8595,42.0
7285,61.0
5088,33.0
8681,43.0
3879,30.0
3222,40.0
5845,55.0
3564,22.0
1756,69.0
3711,47.0
5642,43.0
4055,24.0
5490,26.0
2000,22.0
2998,40.0
2042,59.00000000000001
6843,39.0
4868,36.00000000000001
6108,29.0
1792,48.0
6381,22.0
8161,19.0
4683,40.99999999999999
5633,34.0
1508,40.0
5426,47.0
5835,60.0
6606,51.0
8221,28.0
7410,31.0
4870,38.0
5605,27.0
1790,48.0
4669,40.99999999999999
3017,51.0
3037,33.0
4080,40.99999999999999
3506,23.0
2916,35.0
8085,57.99999999999999
6844,39.0
2906,49.0
1772,33.0
4692,44.00000000000001
2740,33.0
5610,23.0
5897,34.0
5962,38.0
5920,34.0
6279,36.00000000000001
6853,61.0
8384,48.0
1977,30.0
6312,25.0
2154,60.0
5660,36.00000000000001
4020,17.0
2506,30.0
5144,32.0
4120,32.0
4466,48.0
5439,31.0
4400,24.0
6184,64.0
2687,28.0
7222,28.0
8569,42.0
2071,33.0
4587,19.0
8216,49.0
6373,28.0
3933,31.0
4614,42.0
6245,42.0
1661,30.0
3263,40.99999999999999
2178,47.0
7545,21.0
5673,39.0
4545,34.0
4471,47.0
5579,22.0
8454,50.0
5136,23.0
4110,30.0
6311,25.0
1863,44.00000000000001
5472,29.0
1857,69.0
4367,19.0
5940,59.00000000000001
5488,40.99999999999999
3205,31.0
4206,53.0
5031,30.0
6708,37.00000000000001
6178,46.0
3156,32.0
6447,55.99999999999999
3384,43.0
7124,25.0
7219,43.0
1749,59.00000000000001
7533,33.0
5516,0.0
1914,38.0
6399,43.0
4166,46.0
3063,26.0
7284,61.0
7569,89.00000000000001
7398,40.0
8660,33.0
4612,48.0
7439,31.0
5959,28.0
6635,64.0
3762,38.0
7048,36.00000000000001
5606,42.0
3912,40.0
8663,43.0
7488,25.0
5748,23.0
2617,64.0
6655,18.0
3359,26.0
4510,36.00000000000001
5812,28.0
6036,44.00000000000001
6662,25.0
6733,38.0
3556,19.0
8078,53.0
5040,31.0
6659,43.0
3155,37.00000000000001
6135,27.0
1652,40.0
7634,19.0
6605,52.00000000000001
3732,10.0
2623,79.0
4519,17.0
6496,40.99999999999999
4788,37.00000000000001
7506,25.0
3488,26.0
2532,35.0
7345,22.0
5314,68.0
6532,35.0
5597,34.0
5538,38.0
1939,31.0
8201,21.0
6231,43.0
8571,33.0
5933,30.0
4087,37.00000000000001
3310,49.0
8404,35.0
2964,17.0
2027,37.00000000000001
6810,57.0
7400,18.0
4610,37.00000000000001
3417,43.0
7446,57.0
2640,29.0
5523,27.0
4949,20.0
6123,45.0
6874,26.0
4338,49.0
3292,45.0
5391,47.0
2855,20.0
5240,22.0
3586,20.0
5620,43.0
2186,37.00000000000001
6601,26.0
8239,36.00000000000001
8321,42.0
8526,42.0
6674,22.0
4294,29.0
2218,40.99999999999999
1980,23.0
4571,29.0
5799,53.0
2505,25.0
8630,38.0
4738,36.00000000000001
3240,36.00000000000001
5867,51.0
5011,36.00000000000001
1565,40.99999999999999
3152,32.0
5169,60.0
2222,14.0
2588,38.0
4490,23.0
2811,22.0
4709,25.0
2825,57.99999999999999
4242,59.00000000000001
4691,44.00000000000001
6441,21.0
7693,48.0
2649,40.99999999999999
5693,32.0
2234,31.0
5566,32.0
