,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
98,24.1536,0.508026,60.0728,0.3181028461582728,87.61806666666666,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
176,18.8607,8.21359,53.2114,-1.1175095161090989,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
244,24.8747,0.364092,39.4672,-0.190169963859311,69.10415,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
240,25.1701,0.34738600000000003,52.3049,0.6320278515321481,72.13889999999998,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
282,23.9,0.112474,44.6814475,0.4037778383204212,69.34723333333334,0,0.0,0,97.0,0,6.26,17.9,1,1,1,1,1,1,0,1
234,25.1701,0.4682939999999999,52.3049,0.15774048353569786,72.12243333333333,0,0.0,0,92.0,0,6.71,14.1,0,0,0,0,1,1,0,1
68,18.4841,1.41117,50.06399999999999,-0.14951588907672045,61.97223333333333,0,0.0,0,52.0,0,6.93,17.0,0,0,0,0,1,1,0,1
44,21.1,2.48779,50.5321,1.436109223489407,63.2687,0,0.0,1,84.0,0,3.13,13.0,1,1,1,1,1,1,0,1
116,22.8406,0.685132,61.6345,-0.8763890908886601,77.56246666666667,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
152,23.2338,2.81359,57.5722,-1.4423507820233294,86.24306666666666,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
80,26.6618,0.587917,61.7229,-0.8002252313803804,84.25169999999999,0,0.0,1,79.0,0,4.92,13.0,1,1,1,1,1,1,0,1
22,28.87,0.899582,45.47,0.3354252245787829,66.63250000000001,0,0.0,0,98.0,1,4.7,28.0,0,0,0,0,1,1,0,1
332,25.6,1.1030799999999998,51.1371825,0.9178615016289672,77.2608,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
48,22.5091,0.18366300000000002,50.5321,1.436109223489407,63.2687,0,0.0,1,84.0,0,3.13,13.0,1,1,1,1,1,1,0,1
308,27.1,0.754034,49.3991,-0.6297738543368996,70.48226666666666,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
2,25.07,0.6985600000000001,49.92,0.6477224019313664,75.7075,0,0.0,1,93.0,0,4.7,13.0,1,1,1,1,1,1,0,1
388,21.7,2.59249,49.3269,0.694349742359301,76.26386666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
294,23.9,0.406812,47.6610175,-0.5596056773548868,75.98666666666666,0,0.0,0,95.0,0,5.59,17.0,1,1,1,1,1,1,1,0
374,26.7,0.20369600000000002,58.33781000000001,-1.3500529813693587,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
314,26.7,0.530459,49.895695,1.220159438719324,65.44443333333334,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
310,27.1,0.754034,49.3991,-0.7505183149689925,71.05673333333333,0,0.0,0,96.0,0,8.28,21.0,1,1,1,1,1,1,1,0
