,ozone
20960,17.0
1766,25.0
31744,26.0
25041,30.0
2946,62.0
13346,68.0
5420,40.0
13961,28.0
17872,40.99999999999999
14208,59.00000000000001
2095,42.0
16820,38.0
23335,40.99999999999999
9906,48.0
9916,40.99999999999999
3329,38.0
17797,17.0
32902,35.0
8203,35.0
16084,23.0
10535,25.0
28827,24.0
1980,31.0
9617,37.00000000000001
33868,24.0
10322,25.0
26034,19.0
27125,37.00000000000001
8878,62.0
14040,61.0
21384,46.0
15650,20.0
16989,23.0
22704,43.0
8073,59.00000000000001
2264,40.0
14470,18.0
3780,57.99999999999999
21685,40.99999999999999
24351,36.00000000000001
29049,20.0
23929,55.0
28854,38.0
26459,37.00000000000001
8181,19.0
21885,19.0
33160,23.0
7273,26.0
28201,36.00000000000001
29116,29.0
27504,21.0
29072,39.0
8681,44.00000000000001
24542,44.00000000000001
31055,12.0
27948,31.0
32083,35.0
28253,25.0
27996,34.0
32040,50.0
22193,33.0
34541,38.0
23946,37.00000000000001
10884,62.0
10561,33.0
26227,61.0
18522,60.0
31866,39.0
33571,40.0
28229,19.0
28791,39.0
11154,32.0
2607,51.0
29032,55.0
8692,25.0
1957,40.99999999999999
32733,40.0
16907,29.0
2746,28.0
17736,34.0
28346,47.0
21593,57.99999999999999
1884,60.0
2476,21.0
19980,26.0
18289,21.0
15310,29.0
31691,49.0
27820,36.00000000000001
20007,19.0
34733,27.0
21490,38.0
26727,40.99999999999999
24523,40.99999999999999
26853,16.0
10230,45.0
33959,51.0
27177,38.0
23881,50.0
3951,31.0
7026,30.0
2721,40.99999999999999
7807,40.0
19109,29.0
6782,40.99999999999999
19676,27.0
10341,31.0
7155,55.99999999999999
6742,57.99999999999999
26654,28.0
17551,44.00000000000001
5298,57.0
619,34.0
1429,54.00000000000001
25844,27.0
20121,38.0
24692,24.0
24546,25.0
13291,69.0
11841,44.00000000000001
5700,43.0
31388,30.0
3754,16.0
33083,47.0
8870,43.0
32619,25.0
29934,49.0
18796,25.0
29166,20.0
2064,18.0
17666,33.0
30141,57.0
891,22.0
17713,11.0
16622,13.0
326,44.00000000000001
9810,19.0
