,no2
19935,13.8
1039450,29.0
286368,12.4
317662,10.4
477399,8.2
1039115,16.5
806252,45.5
341012,12.8
131826,23.7
728770,9.1
64446,16.0
678695,12.9
890694,27.1
604898,4.9
883515,1.3
748666,7.4
33858,12.4
285165,21.4
452322,19.0
759560,27.8
218544,32.4
404398,32.6
761787,4.7
764928,16.1
112870,29.0
756790,38.4
921406,31.2
568057,2.6
557902,10.8
610540,13.1
2907,13.8
758127,30.1
500756,11.4
908357,5.6
681653,20.1
127537,10.0
173600,32.1
695816,27.1
121418,21.0
14256,9.2
762640,4.8
664328,27.7
728148,12.6
866835,9.6
662443,7.5
1001502,16.6
578813,18.1
617325,2.6
514720,31.7
949595,23.9
982183,10.0
667168,2.4
401535,6.7
285986,21.6
257804,6.6
936993,28.6
815602,11.5
763362,7.2
321118,26.2
281273,30.9
730868,6.9
567951,17.0
879748,9.4
611151,10.9
1039412,6.1
4167,5.3
1021420,23.9
86347,18.0
105510,11.1
128019,5.3
879269,8.8
973579,5.2
86708,38.0
564639,16.7
408735,6.8
333548,48.4
1009787,37.6
802988,9.7
921469,28.0
777670,27.0
244067,12.4
824627,6.2
718579,32.2
318495,14.0
26838,12.0
908555,32.4
261654,29.8
347772,42.0
50621,22.0
839296,32.2
35640,1.1
565766,12.8
322775,3.2
301335,10.7
111798,26.6
537156,25.2
248725,5.9
994753,27.4
112460,22.7
956468,9.0
974015,10.1
733276,9.5
529359,8.5
29448,0.5
135890,21.9
508201,12.1
34029,17.4
9819,8.0
764229,5.5
639669,3.0
26397,21.1
515093,21.6
289000,33.6
18117,6.8
828039,17.5
407971,22.5
227615,23.6
11133,1.8
810515,34.4
949908,11.7
20034,1.4
17982,5.6
175813,19.5
920898,5.9
320954,9.5
36780,16.1
923044,28.7
709605,13.1
257360,11.5
709048,22.5
534870,34.8
444923,31.9
633276,37.3
305790,12.2
1022399,15.6
770675,6.0
298500,33.6
1027478,14.9
329242,38.6
919269,19.8
650201,10.5
793636,11.7
17397,23.2
121796,24.3
363069,10.7
1012365,28.0
789011,38.2
840288,2.4
760427,12.0
126511,4.0
586471,9.7
908836,3.7
790969,32.4
857853,6.1
207096,50.9
885958,17.2
590251,30.2
513019,25.7
540403,18.3
2682,21.4
369246,15.3
650541,29.3
46479,19.0
331326,52.2
292863,5.6
880000,8.0
434190,7.1
980128,4.2
714641,17.8
186507,21.3
741546,18.8
792715,10.1
731351,7.8
103346,44.0
452555,16.1
608679,49.1
763013,10.4
64355,2.0
715835,41.6
360402,12.9
770931,27.0
983211,17.4
679235,8.4
106824,42.1
589654,10.9
665943,5.8
79853,28.0
998400,28.5
761673,20.3
977004,10.2
224067,19.9
771784,39.0
970369,20.1
261089,5.4
713650,24.0
475671,40.5
509960,24.2
256656,7.9
277018,32.1
974328,19.3
859428,21.7
11151,5.8
641891,16.0
73200,6.0
1044735,12.0
875158,11.3
849310,31.0
36828,2.4
139121,46.8
929786,29.7
757408,27.6
763459,21.7
75647,10.0
757753,38.2
512911,12.3
914402,12.3
1041606,7.9
229031,43.6
432550,2.0
771460,12.0
75651,4.0
917458,4.3
812174,7.6
415019,11.0
1035191,8.9
504596,3.3
37020,9.1
291986,11.5
793330,9.9
778640,18.0
988643,18.9
69260,5.0
973914,29.1
448057,25.1
389705,22.0
1006589,14.0
575606,25.5
978653,8.0
510107,8.8
723981,0.3
293489,22.3
613898,9.1
138894,12.8
263695,13.0
401453,5.7
679486,13.0
249257,1.8
58243,18.0
1047192,5.9
653997,6.1
699490,12.0
716151,12.3
809607,8.3
725982,8.7
11403,11.9
137724,11.3
596592,42.9
22914,10.9
149911,37.5
958676,4.6
225704,50.1
31473,5.8
812426,16.4
862529,9.8
968785,13.6
682383,14.0
347717,25.2
923636,14.2
510493,14.7
1015280,46.8
180820,53.1
416677,40.8
97881,26.0
1047121,6.2
807827,16.9
474948,31.6
790809,8.0
525492,55.2
913637,3.4
406821,19.3
761248,34.2
975263,21.6
197465,20.8
274532,7.6
308284,14.6
1046853,17.7
114082,27.6
266890,38.9
380562,6.3
1038908,4.7
168700,20.1
579913,19.3
840077,9.7
418932,45.7
983956,17.6
53284,6.0
32715,6.5
69449,15.0
159943,27.8
895318,41.3
203995,33.0
381180,13.2
7479,0.8
815258,5.4
759165,12.2
912511,10.3
216936,38.4
494941,18.0
544957,35.4
510111,6.8
374733,20.1
42188,36.0
155600,13.3
62207,22.0
735029,10.2
566062,3.9
900520,3.0
497875,5.6
765093,3.3
110577,27.1
843449,9.6
1035868,19.7
285290,4.7
782586,10.0
464172,17.0
33597,5.7
559239,4.0
957464,21.0
981291,14.1
541171,29.5
488612,34.5
749767,10.0
485324,33.5
756151,31.2
46801,17.0
591411,23.2
338231,11.6
693467,29.3
56601,6.0
562496,15.1
994605,17.7
977399,34.9
116139,8.0
216489,29.9
508960,28.7
927720,24.9
452306,6.0
27972,2.2
490650,12.8
604701,28.7
899982,22.0
199021,5.1
889887,6.4
32922,17.8
514850,17.6
832671,9.6
846728,15.5
216785,33.4
930353,29.5
452732,23.9
639074,15.4
54357,34.0
687187,20.8
657773,39.9
294533,46.1
257322,12.2
763903,4.7
244569,7.9
195438,7.4
599610,14.0
763887,25.8
599942,22.2
414089,18.5
968315,17.5
284242,47.8
949874,34.0
934479,13.3
1012723,10.2
838419,5.4
298336,36.9
165349,19.9
610339,15.7
274098,33.7
587775,5.0
219966,22.9
343846,3.7
227645,30.4
731880,5.6
356605,26.8
474847,35.3
469516,21.2
672996,7.8
192123,2.0
832364,16.7
928089,20.5
781112,27.0
636476,17.3
1021416,11.9
755580,14.7
226404,12.8
689135,10.0
1037324,2.8
635591,14.6
904186,10.8
284133,33.1
700330,10.9
134342,9.6
107049,38.0
54059,26.0
258403,13.3
36795,7.6
476960,26.6
416652,20.9
55204,4.0
668413,8.1
167508,25.6
844979,5.6
532026,30.3
1030476,16.1
273699,15.2
268031,35.9
568099,7.6
77371,6.0
684248,18.8
1002640,1.9
19377,0.7
513145,12.6
307781,9.8
1036224,9.3
620421,12.6
619663,13.8
629212,18.5
654852,32.8
269399,15.8
614608,7.1
320783,13.4
977634,30.8
29673,3.7
783468,51.0
599355,3.9
720989,45.8
984370,9.2
110316,20.0
521072,13.1
349320,42.4
43196,28.0
344550,4.9
555317,14.6
1020653,39.4
1005741,7.1
448340,2.3
896133,5.3
415788,7.5
704283,30.5
92190,26.0
623160,39.2
50269,5.0
430843,23.0
331275,16.2
948591,20.9
73066,10.0
9153,12.4
438915,6.7
35676,1.5
208071,47.8
276854,9.6
985103,15.6
506761,38.4
924808,15.2
675546,25.3
377183,27.5
884983,4.9
973198,25.5
648136,9.3
23292,10.7
163124,47.3
624878,3.8
227146,20.3
669004,7.9
372836,14.7
239176,24.8
244252,18.3
784499,12.0
6714,5.6
514556,36.0
700154,18.6
295274,6.8
534536,27.9
237748,15.6
667705,10.6
857189,10.6
110437,22.0
1023029,6.9
712888,53.1
180624,20.0
197605,41.2
203278,22.4
425447,5.3
237286,29.4
518630,4.3
823511,7.7
691253,5.6
921746,4.0
525586,28.8
504470,17.9
24255,12.4
194783,22.9
209472,43.9
444148,27.8
461743,34.3
563112,18.0
28368,6.7
182386,5.6
846947,14.9
355907,25.5
262588,35.0
309970,15.4
174610,28.8
38410,19.0
804270,12.2
499752,17.5
36981,1.7
756035,36.6
51767,18.0
964672,11.4
451791,11.9
228675,36.8
211440,6.1
394238,17.8
829899,27.1
424748,43.1
972601,15.0
316504,9.6
683564,15.4
1036469,46.3
879017,12.6
967268,15.8
798821,8.4
547750,25.5
279427,27.8
752451,9.6
1044912,2.6
621754,14.8
815661,6.9
862021,13.2
688505,15.1
59945,2.0
41042,23.0
926940,14.4
666895,8.1
607138,10.4
190966,5.7
936494,8.3
330994,54.4
31158,8.1
750102,39.6
590945,9.0
401768,18.2
233134,57.6
698650,23.2
442032,37.7
525501,49.5
83729,42.0
820920,7.8
371961,1.2
499275,15.1
616341,1.2
224227,31.0
310162,10.2
764517,11.4
297480,37.3
695971,16.7
939962,45.5
479367,31.0
1016623,33.5
711091,2.6
995419,37.2
113881,2.0
603225,10.6
568400,23.6
36789,4.4
71098,11.0
961648,3.5
763963,4.7
286569,24.9
895440,15.3
366197,18.2
105102,44.3
107209,21.7
577327,18.2
564451,23.1
708174,1.4
125856,2.4
927032,9.4
635306,33.9
961686,13.1
418684,13.9
904589,42.2
519667,32.6
833907,28.9
15804,2.7
327026,11.9
907509,3.2
940124,23.5
520900,19.2
833138,13.3
170812,17.6
565396,3.3
660493,9.5
193764,23.2
178288,20.1
950124,3.6
595067,7.1
795729,10.2
562411,14.2
389144,21.7
1004438,7.3
751661,37.9
609324,8.9
292500,34.7
539283,7.7
114966,11.8
1024465,33.3
670729,13.7
694795,1.9
951956,20.6
241120,24.0
488113,3.9
1040492,5.1
148632,13.0
1044524,16.4
527926,7.2
901028,2.7
33102,11.1
266042,43.8
513691,23.3
833853,33.1
760823,7.1
900394,15.0
824917,22.3
1629,2.0
965214,5.3
809112,31.5
1045272,5.5
54538,45.0
338749,55.1
644583,20.1
218409,24.4
209956,11.3
159046,26.2
644625,10.7
585564,9.5
1033135,25.4
772468,30.0
824690,7.9
548085,37.2
472798,11.2
260403,6.9
1045786,24.2
715372,14.0
475117,15.7
883641,13.8
647941,17.7
564955,12.5
410181,44.1
810414,38.2
627014,5.4
736516,7.6
129356,9.4
982372,9.5
893995,24.8
624488,11.4
226743,4.4
147297,31.4
779986,12.0
997583,12.9
503117,17.8
74474,26.0
212316,9.4
663875,16.5
1003144,10.5
419210,41.4
1003878,13.8
921784,19.4
164205,24.8
786015,34.0
654396,23.1
966150,4.8
5013,14.5
72211,11.0
674450,10.3
592104,28.9
77059,25.0
908580,14.2
140328,12.4
350604,27.8
179367,16.7
3681,6.5
858836,23.9
241355,6.6
613566,4.3
425335,28.6
307710,4.0
726116,13.9
360071,33.2
594394,33.8
146107,10.7
771305,10.0
759660,16.7
345378,48.4
1053,7.0
135995,8.9
174455,19.6
699839,16.3
33516,19.6
638475,23.7
381658,8.1
68925,16.0
1026863,5.3
34470,2.5
630135,16.4
965205,22.4
206985,34.1
855497,12.8
778703,8.0
486156,9.8
323123,3.8
493941,0.8
158678,22.9
10872,23.8
1038942,8.9
212543,41.0
982995,20.2
139448,19.3
736625,0.8
761424,16.7
355508,16.7
1043894,17.1
310897,13.5
902485,26.1
12852,1.1
935447,12.0
481374,20.8
166287,22.8
1046383,6.8
145922,17.0
889576,15.0
506255,2.0
443318,23.2
24201,4.0
712756,18.3
7218,0.7
435716,15.5
709367,7.8
233972,39.6
881872,2.6
926058,34.2
1035542,6.5
949984,10.1
212367,33.8
120018,8.2
798569,3.1
776388,14.0
823972,31.8
562394,4.3
437667,7.4
18,22.0
506486,27.7
545966,37.9
447369,14.3
188253,4.1
951528,12.3
83838,18.0
660492,44.6
917118,32.2
755596,22.3
193802,19.9
833718,2.8
1035436,11.7
786440,19.0
734375,18.4
742001,12.9
504591,38.4
722338,10.9
587981,24.0
271321,46.1
729784,4.4
1046900,22.6
322792,14.9
506440,7.6
993512,36.4
513808,44.0
407332,18.7
986039,12.8
74646,19.0
354583,38.0
784238,12.0
764479,7.4
794755,5.5
856534,15.4
1022813,25.1
849978,25.2
548767,5.1
472802,18.0
2286,2.0
310041,22.3
1045588,29.1
842207,1.1
680809,4.7
270977,13.8
457781,10.2
708786,8.6
530077,43.4
186163,10.0
937108,29.6
389014,31.2
2574,29.8
653686,17.3
567372,3.9
518629,9.6
859680,5.6
870052,25.2
409246,3.6
457979,7.4
306077,11.7
519142,50.7
1018036,18.6
688803,24.5
1037214,9.5
597926,35.4
35667,0.9
622246,9.8
499062,7.7
403018,27.0
23652,1.5
250736,23.3
446269,9.7
937532,8.4
839670,6.2
1044560,29.0
876040,25.1
614316,15.8
297628,10.0
415084,28.9
406988,33.0
465377,18.7
296646,19.2
738326,28.9
575141,25.6
436229,8.9
51265,35.0
759977,39.1
111751,16.6
760142,36.6
30951,5.6
363314,5.2
396622,25.6
399783,36.4
493454,13.1
500003,12.8
16029,13.2
707096,10.5
308189,15.1
194460,21.2
327976,42.2
861420,9.5
261311,15.1
404884,21.7
540652,14.9
190689,12.4
133586,12.6
1024825,41.5
243887,6.8
895066,30.3
272843,12.8
302787,12.3
944863,33.4
11097,7.1
412466,13.0
999749,28.4
67696,4.0
997088,7.5
1036415,16.9
672003,3.4
102638,35.7
744332,34.1
786629,9.4
122990,21.0
62156,24.0
615520,6.2
202977,25.3
642059,14.8
473941,21.1
159595,38.0
697469,41.4
872281,13.2
188416,6.1
1018718,4.3
957579,9.3
878081,13.7
664833,9.1
673041,13.5
768482,28.0
603389,19.7
467094,51.3
481914,17.8
498894,10.0
8226,29.8
524032,6.5
6894,18.9
688440,6.5
272009,29.0
730228,4.4
688180,17.4
377648,8.0
925432,23.5
31554,0.2
416159,17.8
527166,37.6
493604,21.8
606978,4.5
146061,5.9
435556,15.4
280701,20.9
771847,19.0
1046367,15.5
681523,10.2
129076,22.5
1045570,14.2
927648,26.9
414965,18.3
4509,2.1
854959,23.6
700153,9.2
377875,19.2
457564,40.4
920054,15.3
784162,8.0
587858,2.0
1005703,6.6
5373,12.1
341716,17.0
727484,4.6
443988,14.3
903959,0.8
872949,9.6
361476,25.6
468389,15.8
998790,5.6
526172,24.7
775014,5.0
20142,8.9
1044825,24.2
225108,30.7
352191,17.7
985209,6.1
910310,11.5
340676,15.1
457091,11.6
904031,28.1
1001934,7.8
1044537,34.8
176894,15.7
919622,33.3
15975,2.8
657244,14.7
49438,8.0
394828,21.3
299726,17.7
990685,4.0
346862,10.0
694791,8.4
306318,5.9
992165,44.3
186822,22.4
148003,19.0
945511,3.3
572225,9.7
764534,10.6
35379,0.2
657661,27.4
274888,50.4
984959,9.9
870983,16.9
472781,12.7
604602,53.9
771838,18.0
154430,20.4
505079,21.4
909626,6.7
488831,27.3
643924,38.1
1046997,4.1
669974,1.1
15912,0.7
1041466,49.6
850794,28.1
605985,3.5
981372,2.6
368104,27.8
808079,36.2
236798,15.1
299399,31.9
305197,20.3
264788,50.3
322964,7.9
231072,10.8
762861,12.5
977965,14.0
412850,39.6
31347,3.1
367623,21.2
678149,12.6
638355,37.5
385176,19.1
524984,26.8
380214,12.6
717429,18.6
966726,11.9
342019,21.8
791347,17.6
696848,33.2
355684,18.5
189186,9.8
952651,34.2
218439,36.6
29907,34.5
361909,7.7
635915,19.8
626604,18.7
806853,16.6
403493,11.2
831621,28.1
162149,16.7
896583,26.1
188963,9.4
670348,6.8
729460,6.8
88918,6.0
823520,24.3
115670,43.3
29727,21.0
468084,15.6
678653,16.9
1013148,3.2
1040458,25.2
993414,16.2
998362,1.4
383225,4.7
315,12.0
6903,14.0
678498,11.0
423806,27.0
32733,9.6
322830,8.9
985607,23.7
986565,13.9
905917,22.1
778514,9.0
16776,30.3
1045933,8.2
786175,16.2
339825,16.3
46973,25.0
256757,2.9
762797,5.8
378866,12.7
762723,7.4
763366,7.5
774140,2.0
685998,11.1
62684,23.0
568572,18.3
647154,22.5
359706,3.6
536189,34.2
345349,30.8
536247,48.0
294199,10.7
825169,9.0
396257,32.2
491293,1.6
510292,13.3
167538,42.5
23067,18.7
136214,10.1
3600,6.4
978547,2.5
55135,17.0
689807,13.8
978873,19.7
951278,21.5
950268,5.3
971780,22.4
615455,4.5
35802,4.7
140495,22.8
464786,36.6
665891,11.5
686846,27.0
823423,9.1
675419,5.5
206868,39.6
821235,7.4
1021780,16.5
303426,9.1
554861,31.7
1041250,41.1
412698,19.4
34722,4.8
627458,3.1
999479,5.7
52400,7.0
441683,6.6
1005291,6.8
60155,16.0
26712,17.6
273770,41.8
797586,6.4
1045563,13.1
214798,10.2
991049,20.7
365506,48.4
437275,2.4
755195,19.3
470777,16.0
566700,15.6
285345,28.0
927381,15.7
259735,2.0
146237,5.7
775043,6.0
162759,17.2
926339,34.3
2475,12.3
794692,4.7
775455,6.0
649717,20.8
847953,37.7
594293,5.3
375325,1.5
384225,6.8
275043,12.5
825569,8.9
406171,26.9
562915,3.8
365288,22.8
303364,15.0
46977,10.0
737783,5.6
211143,45.0
326919,5.3
397540,52.5
832179,38.3
694286,36.5
322122,14.2
923771,18.9
509669,31.0
402964,11.4
728606,11.1
415505,38.6
700760,12.8
252164,8.0
633449,13.0
944512,6.2
823808,9.9
627917,30.3
1017647,6.3
126584,5.6
988041,11.9
914994,9.3
729,9.0
161870,18.6
863121,5.9
1018862,14.9
762953,16.1
872407,10.9
636859,21.9
705803,16.4
970009,12.5
822600,6.4
685072,17.3
249098,18.3
753274,4.5
839103,4.4
224707,38.0
115615,14.3
681039,20.5
387860,18.1
22374,0.5
930002,8.4
50478,37.0
633621,53.1
26721,4.5
997862,6.9
996901,19.7
1007471,7.1
1046468,24.4
1039878,11.3
670205,7.3
408271,32.4
15651,4.0
185623,4.6
333511,27.5
1012534,11.4
944114,19.6
183367,2.5
246832,2.8
1044508,26.3
902519,28.2
217705,10.7
737263,4.3
804207,16.3
228889,39.9
761153,33.2
701675,27.6
634711,15.1
159591,30.9
897873,7.7
37050,19.0
13536,10.7
616271,5.8
260122,15.4
749390,18.4
406150,8.5
609943,20.2
616190,5.4
435383,24.5
462698,7.3
69142,15.0
74822,16.0
1046930,33.9
855119,34.5
295799,27.5
764812,15.2
1046594,32.0
822181,18.8
154380,7.0
679149,9.0
793863,31.0
521757,32.1
16722,30.1
819903,6.1
761542,41.9
753455,7.8
893768,8.7
376423,15.6
15750,0.9
42609,2.0
439285,20.1
277534,6.0
282507,10.2
753656,15.0
555013,19.3
134780,9.1
310609,13.0
979399,37.6
468566,24.8
433280,23.3
437123,14.7
376724,2.6
5337,17.9
788103,50.1
759825,32.2
623642,15.8
223257,24.4
47912,50.0
305001,10.3
388707,19.2
988151,3.4
149012,40.4
864604,23.6
231315,33.6
934889,6.8
190045,13.1
418338,5.7
40265,30.0
481652,24.6
984298,6.4
627474,16.9
1044753,15.0
76426,23.0
119487,7.4
983380,11.4
242668,3.2
1018439,20.3
555422,8.6
957410,11.1
624771,15.5
187830,10.7
1038035,39.8
449748,16.9
467764,6.4
148231,12.4
895608,40.8
1037794,7.7
282777,22.7
365987,12.6
434320,12.7
553711,14.2
763533,14.7
575864,21.6
16965,14.8
540999,24.3
233714,15.3
399079,44.8
985056,15.9
504974,31.1
102694,25.3
801296,16.4
651003,12.5
181583,10.2
185886,29.4
18495,1.0
760899,10.0
70841,23.0
534874,47.0
1039709,18.1
518081,5.4
594882,2.1
463929,5.9
1008199,18.5
37017,7.0
84002,10.0
655369,7.4
673131,0.9
651852,23.8
995673,30.3
144920,19.6
764020,23.8
687987,7.8
522978,21.9
734258,14.1
429632,12.4
505314,12.1
871554,23.1
130745,1.6
203793,5.2
436444,8.9
493655,15.8
93422,35.2
240780,12.1
931761,9.4
946276,11.6
811834,11.3
958274,12.6
193990,11.1
431036,43.0
982525,3.2
776577,9.0
12105,4.0
88002,31.0
358533,49.3
142257,22.9
725544,29.3
26766,5.3
592583,17.2
110089,9.3
392904,19.6
753270,9.3
133163,2.5
781078,39.0
848806,35.4
960649,37.2
1008464,13.6
84853,30.0
703378,24.0
477478,42.8
345143,4.4
333335,4.2
818362,14.2
142958,6.6
865755,10.1
906908,16.4
1025050,7.5
770234,23.0
757576,22.3
68543,13.0
665845,1.9
451990,28.6
193279,12.1
517186,53.5
370866,13.1
265611,4.9
634473,13.2
219147,50.3
227636,41.7
962134,27.4
568485,16.3
759933,27.6
413713,11.8
191601,4.0
33345,15.0
53653,23.0
101439,27.0
421908,16.2
356213,45.2
484529,13.1
448353,9.1
213187,9.1
925831,8.6
714162,10.6
739777,12.9
561035,1.2
843323,9.3
159633,34.1
1011823,3.0
712494,31.6
213562,17.0
468868,17.3
759198,14.0
825976,5.2
820634,7.3
858802,25.2
432879,1.8
932434,28.5
174614,10.8
466265,7.6
807159,3.6
563901,3.9
290231,25.8
677150,10.4
483774,3.5
884758,21.0
869312,37.4
525970,19.9
75018,18.0
991474,4.4
155252,20.0
635353,29.0
535571,24.3
314053,33.7
409070,7.9
951431,7.1
370102,1.4
601711,16.0
971690,6.8
814619,1.6
757249,11.2
935490,6.8
676361,31.7
330626,11.8
992475,6.6
218655,11.7
635898,18.0
763383,28.8
147974,15.0
146283,23.0
279837,44.8
419915,3.2
612512,10.5
124312,6.7
745486,22.3
966688,15.2
762540,24.5
843386,10.4
881318,28.5
385131,29.0
530048,42.5
257285,3.7
808511,20.4
15642,3.6
62927,22.0
580797,38.5
183204,25.5
774762,2.0
520572,5.4
89003,8.0
246337,2.6
425073,6.5
127746,24.0
165877,31.7
36714,17.0
117080,4.0
1041610,12.2
176324,4.1
201633,20.2
389881,24.8
187148,2.6
121280,33.8
21483,2.5
844464,9.2
767197,13.0
940196,38.2
184935,18.3
844853,4.2
520236,23.2
10521,4.6
224547,26.3
327939,7.1
377162,18.5
39823,33.0
69427,17.0
955068,22.9
885071,3.7
351444,20.5
260436,7.7
461337,23.2
425163,6.0
473781,47.0
398456,16.0
493823,9.2
610646,1.7
759945,13.5
150381,8.8
979370,9.4
67700,17.0
100318,44.0
54873,48.0
18774,1.1
749271,23.2
1003788,27.5
321699,10.8
862176,9.5
592650,38.0
1041293,25.3
896448,10.5
847593,25.7
934259,7.0
52560,16.0
505646,12.1
583931,36.5
103689,36.0
900974,17.5
636391,27.9
28872,0.7
193032,5.0
948616,24.9
132410,4.5
986612,19.0
1026184,6.3
18099,17.7
289683,18.7
899541,13.7
540806,15.0
391795,4.5
160475,40.3
512711,31.1
252057,6.2
618818,15.2
504575,18.0
489819,19.0
647105,14.5
266500,42.5
283400,40.4
214970,4.9
526461,7.0
760982,9.6
335620,41.6
248570,30.3
390409,7.3
588424,18.3
16263,4.1
237566,11.7
506596,4.9
273683,8.5
898541,21.6
61679,8.0
1024296,36.9
199086,1.7
509606,20.7
383720,19.9
142088,11.2
16236,9.4
965574,6.8
124689,8.0
519297,14.8
661350,16.5
481018,17.8
706086,6.8
201376,38.1
687692,26.0
397348,25.0
746176,8.9
550538,53.5
919143,11.8
927133,7.6
581319,35.4
650929,2.6
377657,13.5
520081,20.1
325587,2.9
785851,12.4
77580,21.0
536845,27.5
15381,26.2
88596,46.0
660678,13.6
327099,22.0
7830,1.4
570261,14.5
413890,13.8
753942,7.8
549216,1.9
441506,0.8
862050,10.0
5976,11.5
483659,2.8
853607,39.6
381872,10.5
324900,17.3
300241,26.2
864819,13.6
709044,16.8
5544,7.5
709622,20.4
490500,47.0
194026,11.6
4086,2.2
861395,32.0
893147,15.7
553015,16.0
550991,13.0
907610,20.9
95417,22.1
665607,10.7
604849,13.9
539685,4.8
148883,26.2
580581,28.3
922187,21.1
743058,4.7
794793,12.5
860663,36.6
431193,18.9
366021,11.6
1027410,30.3
668983,3.7
1044771,25.7
378911,15.5
664599,9.9
1197,1.0
290728,27.7
163639,29.2
453360,5.1
608332,39.5
520110,23.5
849822,19.0
409754,29.0
32382,4.8
87753,48.0
934846,26.5
572827,27.4
959857,11.8
638713,19.9
1043282,12.3
128564,5.9
332546,38.5
596926,6.1
89248,31.0
55208,13.0
266827,25.5
698356,45.3
592957,35.7
960091,19.5
511279,6.5
38697,23.0
184178,3.9
866331,8.2
782897,12.0
306670,15.1
180812,7.4
1006677,3.1
1016767,25.9
399255,52.0
692105,21.1
107686,8.8
196654,5.9
695639,30.0
537866,12.8
616891,12.1
1003860,31.1
824409,18.0
537513,12.8
19071,6.9
83765,34.0
307198,20.5
40389,25.0
280483,14.4
4230,2.3
10377,2.2
452788,18.8
493671,14.0
482382,19.3
939289,35.4
809717,27.5
72598,9.0
233251,13.0
473290,37.0
811208,45.9
86675,17.0
1033754,11.9
555910,14.1
238208,10.7
848743,26.3
115439,13.7
822503,11.5
573237,18.2
852435,18.4
212563,47.7
265459,5.9
5967,18.5
559109,27.1
584791,14.0
403174,15.8
534303,29.1
886845,5.6
451442,16.6
129865,1.5
837071,3.8
6696,2.5
93468,42.0
584771,20.1
980670,18.5
295250,2.2
632386,26.4
962469,18.8
221978,15.8
567561,19.6
605226,4.2
743289,17.9
17406,23.2
643949,26.0
614062,20.2
508792,19.8
578515,21.3
1029577,18.3
858449,5.1
668865,17.0
512191,12.8
1045017,30.5
852124,33.7
447562,4.9
282897,41.4
951638,19.3
817299,28.5
953483,10.8
453609,24.3
163446,6.7
489282,12.2
533764,22.0
393563,45.8
383818,5.1
896726,15.0
618859,16.6
610978,15.2
334962,29.4
288201,34.9
856408,26.1
873495,58.5
315089,12.5
113202,21.7
629688,27.8
365179,31.6
264239,19.9
28026,1.3
1021382,1.3
553846,13.8
159101,24.4
121943,8.0
743177,10.7
658865,15.9
742407,2.2
13320,0.9
652507,3.2
603295,8.1
676142,36.5
383801,1.5
760337,21.1
397520,26.4
610477,14.7
1018464,11.5
37079,23.0
762437,13.9
952253,4.7
337197,44.7
540017,23.4
114396,32.8
916134,12.1
737325,17.3
957363,8.0
101406,21.9
1034600,27.3
781670,39.0
378891,18.1
498939,15.8
861139,9.0
971834,35.3
80230,9.0
718381,4.1
771620,23.0
736470,7.6
13491,8.7
24840,14.9
447841,5.8
65616,16.0
973968,42.8
789137,36.5
276007,43.2
169391,25.1
650322,6.2
688523,8.3
753610,3.4
470229,3.8
1046635,3.0
379577,19.4
664095,11.0
604501,34.7
27036,6.1
897756,19.6
796368,18.2
504600,15.2
7920,7.7
278645,23.5
288798,15.0
953847,22.3
12384,7.6
430293,8.7
860537,28.1
759267,12.9
231491,61.9
645431,20.3
292834,7.2
216240,33.0
1031297,16.2
5931,15.2
721872,28.3
279766,9.5
1014509,14.2
108085,24.6
124055,35.0
6435,4.1
873003,3.0
422392,34.8
467777,18.6
269571,16.1
309521,10.4
878274,40.4
48612,31.0
1002615,7.0
425859,11.5
644247,38.1
998252,2.6
208116,44.4
213671,32.2
115276,24.6
29988,9.8
407795,21.3
285483,38.5
720685,17.3
657399,10.0
905627,8.9
880315,10.8
478183,26.4
763946,7.7
538559,46.4
229261,40.7
898323,31.2
359117,24.4
986872,43.4
1045262,10.2
181407,13.9
639648,7.5
524179,15.7
673799,0.9
949730,23.0
919584,51.9
374116,11.5
291710,32.1
978368,5.7
628370,26.3
695967,26.0
275994,17.4
1040483,41.8
166898,19.2
516666,32.1
980879,7.5
760953,14.7
995745,30.4
488159,18.8
71017,15.0
500105,5.6
260632,25.3
793834,22.6
703464,22.4
553502,0.5
1032602,12.0
35001,1.0
283224,48.5
595448,32.2
872193,39.1
491144,5.0
82471,37.0
6129,33.1
401483,13.7
736004,2.3
456177,6.2
682895,3.4
550534,44.3
186520,8.0
328509,24.6
761816,5.6
700998,14.0
980425,23.0
1045056,5.4
387148,6.0
623092,15.7
24705,17.9
950585,32.2
552679,15.7
605100,7.9
55712,17.0
655537,20.7
343458,34.5
762965,23.1
924048,17.4
507028,16.9
403690,8.1
575270,8.8
305820,21.9
3087,13.7
666530,19.0
1044609,13.1
750321,26.7
151118,37.5
542084,9.8
394923,32.7
937658,17.7
90765,14.0
575902,30.7
879714,20.0
236656,49.6
959659,11.6
821075,4.6
5166,12.3
1042994,3.4
162465,43.3
328467,18.3
448163,2.1
550926,2.6
860528,24.2
893462,30.5
937442,23.1
842421,7.7
121577,14.2
120283,10.1
514149,8.2
263392,7.1
718234,8.5
653846,3.8
519310,20.2
317682,25.3
315755,7.8
5481,30.2
438173,24.4
19449,2.9
647739,18.1
622553,5.0
290911,33.9
446787,15.9
390995,21.8
650680,15.7
920234,1.4
512994,29.3
150398,23.5
636748,22.8
44759,12.0
699920,8.6
679646,8.8
107695,7.4
649193,14.9
956111,11.8
464640,41.7
587347,24.6
389923,17.8
874499,22.5
225442,17.1
205790,59.8
578960,34.7
254693,6.3
975683,13.8
4176,3.0
335407,15.4
