,no2
897617,48.9
652717,19.6
369766,4.3
461809,21.5
324552,15.8
988317,20.2
572745,23.6
93455,34.9
475835,27.8
598589,16.6
67348,36.0
552011,21.8
21960,4.1
350477,24.1
386341,23.8
1001722,27.0
1040708,6.5
742252,6.5
48209,7.0
786305,4.8
648185,11.2
138773,37.1
60104,7.0
731736,16.3
341455,22.6
960192,16.4
18819,0.6
35613,24.1
755260,20.8
115465,38.0
207358,60.7
656387,2.0
438617,5.2
658273,27.7
621,6.0
315738,4.3
768914,13.0
214167,10.2
457015,25.0
3213,11.1
511783,14.4
857542,37.7
406301,24.9
749296,31.8
326494,16.8
667529,3.5
121129,34.5
935519,7.9
882330,11.7
843692,8.1
947788,10.7
834790,11.6
200753,11.3
848205,26.4
419540,16.9
88686,46.0
244256,24.1
84337,10.0
41621,20.0
960044,20.0
657559,22.0
734438,12.4
724548,17.2
689630,14.2
561730,10.8
1043577,29.1
259036,8.7
307571,27.1
654619,32.9
674618,11.7
647260,13.6
1025635,30.5
571639,13.9
202641,15.0
146584,6.5
655352,4.2
104075,32.2
903367,25.8
948308,12.3
77236,19.0
396975,31.8
503427,7.7
442564,6.9
164875,31.1
502022,8.0
241531,6.1
393592,32.7
818034,6.1
188967,13.7
26748,15.1
328681,47.8
694389,18.4
1041788,6.0
979624,17.2
846274,6.3
681460,10.4
188424,6.1
639792,47.2
678191,11.7
207710,34.0
710557,13.1
614222,6.3
776426,29.0
77408,23.0
310658,14.0
657993,11.6
411271,29.7
874755,17.2
595386,17.4
792040,41.9
494294,17.1
233658,31.3
111854,4.2
507586,20.1
269642,43.2
341560,10.5
537611,19.5
470578,24.7
1046990,4.5
203512,33.2
645099,49.4
625240,13.9
741797,24.3
12456,17.2
651397,20.8
823909,10.9
300807,41.4
270435,11.3
260419,5.1
434696,14.0
439407,19.9
396316,43.5
633159,35.5
794885,13.0
36333,16.9
289717,12.0
566221,12.8
959938,9.9
694606,14.5
324196,26.1
48893,15.0
24579,7.0
253220,14.3
868237,11.8
987944,23.3
338420,32.7
763856,7.7
866108,11.3
138945,25.9
869526,6.1
332843,24.1
8964,15.8
476301,8.3
907601,3.2
761329,59.5
60928,10.0
661498,16.9
981958,24.1
160471,33.5
595924,14.2
1043932,43.0
292487,25.2
429854,16.2
261637,10.8
198914,3.9
548524,6.9
810826,19.3
234942,9.1
966357,28.5
324163,4.2
335444,19.3
1045164,5.8
457909,16.2
317980,27.4
752812,19.3
603782,8.8
773224,5.0
34182,17.5
335959,54.4
89630,42.0
24237,12.8
1001286,2.8
64254,11.0
112297,15.0
535739,41.0
764778,23.2
103195,40.1
417782,20.4
796960,16.0
721428,16.8
755867,27.8
447154,31.0
244753,3.6
449958,27.7
824472,15.3
427577,17.8
867607,4.6
381369,15.2
191304,18.6
855589,23.0
529573,12.2
794203,13.6
464492,30.1
806882,25.9
831180,34.7
288974,8.0
322227,3.4
15570,1.1
1044760,17.6
640879,20.2
1004947,5.7
78771,4.0
839107,6.5
819651,7.0
30645,5.7
