"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/30/2019","AQS","482010062","1","18","ug/m3 SC","17","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"10/06/2019","AQS","482010062","1","14","ug/m3 SC","13","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"10/12/2019","AQS","482010062","1","14","ug/m3 SC","13","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"10/18/2019","AQS","482010062","1","22","ug/m3 SC","20","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"10/24/2019","AQS","482010062","1","23","ug/m3 SC","21","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"10/30/2019","AQS","482010062","1","11","ug/m3 SC","10","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"11/05/2019","AQS","482010062","1","19","ug/m3 SC","18","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"11/11/2019","AQS","482010062","1","13","ug/m3 SC","12","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"11/17/2019","AQS","482010062","1","21","ug/m3 SC","19","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"11/23/2019","AQS","482010062","1","16","ug/m3 SC","15","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"11/29/2019","AQS","482010062","1","12","ug/m3 SC","11","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"12/05/2019","AQS","482010062","1","26","ug/m3 SC","24","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"12/11/2019","AQS","482010062","1","13","ug/m3 SC","12","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"12/17/2019","AQS","482010062","1","11","ug/m3 SC","10","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"12/23/2019","AQS","482010062","1","33","ug/m3 SC","31","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"12/29/2019","AQS","482010062","1","8","ug/m3 SC","7","Houston Monroe","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.625556","-95.267222"
"01/03/2019","AQS","482010066","1","3","ug/m3 SC","3","Houston Westhollow","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.723333","-95.635833"
"01/09/2019","AQS","482010066","1","14","ug/m3 SC","13","Houston Westhollow","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.723333","-95.635833"
"01/15/2019","AQS","482010066","1","24","ug/m3 SC","22","Houston Westhollow","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.723333","-95.635833"
"01/21/2019","AQS","482010066","1","11","ug/m3 SC","10","Houston Westhollow","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.723333","-95.635833"
"01/27/2019","AQS","482010066","1","9","ug/m3 SC","8","Houston Westhollow","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.723333","-95.635833"
"02/02/2019","AQS","482010066","1","10","ug/m3 SC","9","Houston Westhollow","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.723333","-95.635833"
"02/08/2019","AQS","482010066","1","7","ug/m3 SC","6","Houston Westhollow","1","100.0000","81102","PM10 Total 0-10um STP","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","201","Harris","29.723333","-95.635833"
