"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/14/2020","AQS","480391004","1","0.031","ppm","29","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/15/2020","AQS","480391004","1","0.034","ppm","31","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/16/2020","AQS","480391004","1","0.031","ppm","29","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/17/2020","AQS","480391004","1","0.026","ppm","24","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/18/2020","AQS","480391004","1","0.029","ppm","27","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/19/2020","AQS","480391004","1","0.031","ppm","29","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/20/2020","AQS","480391004","1","0.026","ppm","24","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/21/2020","AQS","480391004","1","0.007","ppm","6","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/22/2020","AQS","480391004","1","0.02","ppm","19","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/23/2020","AQS","480391004","1","0.027","ppm","25","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/24/2020","AQS","480391004","1","0.029","ppm","27","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/25/2020","AQS","480391004","1","0.032","ppm","30","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/26/2020","AQS","480391004","1","0.033","ppm","31","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/27/2020","AQS","480391004","1","0.033","ppm","31","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/28/2020","AQS","480391004","1","0.034","ppm","31","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
