Report: TAMIS002 - Raw Data Report (JMP) for 01/01/2008 - 09/01/2020
User: TAMIS User, Run Date: 09/11/2020 15:16:16

"?" represents a missing value.
"SOC" stands for Sampler Occurrence Code.  It distinguishes between different samplers of the same type at a site at the same time. This is a user defined code that once assigned should not be changed.
"AQS Code" is a unique code for the site.  It is a combination of the state FIPS code, county FIPS code and the site EPA code.

For more information about terminology and column definitions visit https://www17.tceq.texas.gov/tamis/index.cfm?fuseaction=report.terms&rt=1802
For questions about AMCVs visit http://www.tceq.texas.gov/toxicology/AirToxics.html/#list

State	Region	County	City	AQS Code	Site Name	Latitude	Longitude	Year	Month	Day	Date	Start Hour	Start Minute	Start Time	Duration	Sampler Type	SOC	Pm2.5 - Local Conditions (ug/m3 (LC)) <88101>
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	14	20080314	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	19.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	14	20080314	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	19.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	15	20080315	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	17.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	16	20080316	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	14.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	17	20080317	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	17.1
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	19	20080319	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	6.2
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	03	19	20080319	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	4.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	20	20080320	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	12.8
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	20	20080320	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	12.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	21	20080321	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	11.4
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	22	20080322	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	15.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	23	20080323	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	13
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	24	20080324	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	12.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	25	20080325	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	15.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	25	20080325	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	15.5
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	03	25	20080325	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	10.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	26	20080326	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	18.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	27	20080327	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	18
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	28	20080328	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	19.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	29	20080329	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	17.2
