"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-16","4.47",",,W"," 2331",",,X"," 2342",",,W","0.04",",,0,2400","0.0",",,0","0.0",",,0",,,"60",",,0","54",",,0","  310",",,X","  290",",,X","0.0",",,0","10.1",",,X","13.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-17","6.93",",,W"," 1513",",,X"," 1403",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"71",",,0","49",",,0","  350",",,X","  340",",,X","0.0",",,0","17.0",",,X","23.9",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-18","4.92",",,W"," 1411",",,X"," 1741",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"71",",,0","47",",,0","  310",",,X","  280",",,X","0.0",",,0","14.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-19","8.95",",,W"," 1733",",,X"," 1814",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"74",",,0","45",",,0","  140",",,X","  150",",,X","0.0",",,0","21.9",",,X","25.1",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-20","12.97",",,W"," 1845",",,X"," 1736",",,W","0.49",",,0,2400","0.0",",,0","0.0",",,0",,,"63",",,0","39",",,0","  320",",,X","  310",",,X","0.0",",,0","25.9",",,X","36.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-21","15.66",",,W"," 1409",",,X"," 1525",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"58",",,0","37",",,0","  310",",,X","  280",",,Z","0.0",",,0","30.0",",,X","40.0",",,Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-22","5.59",",,W"," 1513",",,X"," 1512",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"69",",,0","42",",,0","  250",",,X","  250",",,X","0.0",",,0","13.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-23","6.93",",,W"," 1700",",,X"," 1659",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"74",",,0","39",",,0","  140",",,X","  140",",,X","0.0",",,0","21.0",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-24","7.61",",,W"," 1209",",,X"," 1448",",,W","0.05",",,0,2400","0.0",",,0","0.0",",,0",,,"65",",,0","55",",,0","  140",",,X","  140",",,X","0.0",",,0","17.0",",,X","21.0",",,X","    1",",,W",,,,,,,"    1",",,0",,,"    1",",,0","    1",",,X",,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-25","11.41",",,W"," 1126",",,X"," 1125",",,W","0.39",",,0,2400","0.0",",,0","0.0",",,0",,,"68",",,0","50",",,0","  310",",,X","  310",",,X","0.0",",,0","23.9",",,X","31.1",",,X","    1",",,X",,,"    1",",,X",,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-26","4.47",",,W"," 1909",",,X"," 1901",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"72",",,0","46",",,0","  150",",,X","  150",",,X","0.0",",,0","16.1",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-27","7.38",",,W"," 2206",",,X"," 2206",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"79",",,0","55",",,0","  320",",,X","  320",",,X","0.0",",,0","21.0",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
