"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-21","2.01",",,X"," 1344",",,X"," 0603",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","59",",,W","78",",,0","39",",,0","    0",",,X","  360",",,X","  200",",,W","0.0",",,0","14.1",",,X","30.0",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-22","2.91",",,X"," 2312",",,X"," 2311",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","66",",,W","87",",,0","45",",,0",,,"  260",",,X","  270",",,X","0.0",",,0","11.0",",,X","17.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-23","6.04",",,X"," 1418",",,X"," 1417",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","64",",,W","79",",,0","49",",,0",,,"  360",",,X","  360",",,X","0.0",",,0","17.9",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-24","3.80",",,X"," 1004",",,X"," 1011",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","59",",,W","74",",,0","43",",,0","    0",",,X","   50",",,X","   20",",,X","0.0",",,0","11.0",",,X","16.1",",,X",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-25","3.58",",,X"," 1532",",,X"," 1426",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","59",",,W","77",",,0","40",",,0","    0",",,X","  120",",,X","  130",",,X","0.0",",,0","10.1",",,X","13.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-26","2.91",",,X"," 1727",",,X"," 1645",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","63",",,W","81",",,0","45",",,0","    0",",,X","  100",",,X","  110",",,X","0.0",",,0","11.0",",,X","14.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-27","5.82",",,X"," 1643",",,X"," 1642",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","66",",,W","83",",,0","48",",,0","    0",",,X","  110",",,X","  100",",,X","0.0",",,0","17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-28","7.61",",,X"," 1400",",,X"," 1455",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","70",",,W","82",",,0","57",",,0",,,"  110",",,X","  110",",,X","0.0",",,0","16.1",",,X","21.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-29","7.83",",,X"," 1555",",,X"," 1554",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","69",",,W","84",",,0","53",",,0",,,"  110",",,X","  110",",,X","0.0",",,0","19.9",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-30","8.05",",,X"," 1354",",,X"," 1357",",,W","0.20",",,0,2400","0.0",",,0","0.0",",,0","68",",,W","84",",,0","51",",,0",,,"  310",",,X","  310",",,X","0.0",",,0","25.1",",,X","33.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
