"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WV03"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-20","5.59"," 1314"," 1312","0.00","0.0","0.0","60","74","45",,"  350","  350","0.0","17.0","21.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-21","2.01"," 1344"," 0603","0.00","0.0","0.0","59","78","39","    0","  360","  200","0.0","14.1","30.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-22","2.91"," 2312"," 2311","0.00","0.0","0.0","66","87","45",,"  260","  270","0.0","11.0","17.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-23","6.04"," 1418"," 1417","0.00","0.0","0.0","64","79","49",,"  360","  360","0.0","17.9","23.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-24","3.80"," 1004"," 1011","0.00","0.0","0.0","59","74","43","    0","   50","   20","0.0","11.0","16.1",,,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-25","3.58"," 1532"," 1426","0.00","0.0","0.0","59","77","40","    0","  120","  130","0.0","10.1","13.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-26","2.91"," 1727"," 1645","0.00","0.0","0.0","63","81","45","    0","  100","  110","0.0","11.0","14.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-27","5.82"," 1643"," 1642","0.00","0.0","0.0","66","83","48","    0","  110","  100","0.0","17.0","19.9","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-28","7.61"," 1400"," 1455","0.00","0.0","0.0","70","82","57",,"  110","  110","0.0","16.1","21.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-29","7.83"," 1555"," 1554","0.00","0.0","0.0","69","84","53",,"  110","  110","0.0","19.9","21.9","    1",,,,,,,,,,"    1",,,,,,,
