"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-04","8.95",",,W",,,"1.21",",,W,2400","0.0",",,W","0.0",",,W","83","H,,S","92",",,W","74",",,W","  220",",,W","  210",",,W","21.9",",,W","28.0",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-05","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","85","H,,S","95",",,W","78",",,W","  150",",,W","  130",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-06","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","85","H,,S","96",",,W","75",",,W","  150",",,W","  130",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-07","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","96",",,W","77",",,W","  150",",,W","  150",",,W","18.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-08","4.70",",,W",,,"0.31",",,W,2400","0.0",",,W","0.0",",,W","87","H,,S","97",",,W","76",",,W","  300",",,W","  310",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-09","5.59",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","96",",,W","80",",,W","  130",",,W","  120",",,W","15.0",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-10","3.13",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","87","H,,S","97",",,W","78",",,W","  150",",,W","  160",",,W","13.0",",,W","15.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-11","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","96",",,W","77",",,W","   10",",,W","   40",",,W","15.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-12","10.96",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","88","H,,S","96",",,W","80",",,W","   30",",,W","   20",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-13","12.08",",,W",,,"0.45",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","92",",,W","78",",,W","   20",",,W","   20",",,W","30.0",",,W","36.9",",,W","    1",",,W",,,,,,,,,,,,,,,,,,
